rate_convention,entry_multiple,drain_fraction,era,trades,trades_removed,trades_drained,drain_no_exit_bar,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta,drained_gross_delta,drained_funding_delta
prev,,,full,16745,0,0,0,-0.20225703905408046,0.3659675652296243,-0.40887298408370476,-0.15935162020000002,-0.38737879112830864,-0.05212901624573644,2022-11-10,-0.12078652675669183,0.0,-0.0,-0.0,-0.0,0.0,0.0
prev,,,early,3984,0,0,0,0.07393094702302855,0.24011379490335027,-0.09772244128032172,-0.0684604066,-0.10236025571516394,-0.05212901624573644,2022-11-10,0.18556964614213992,0.0,-0.0,-0.0,-0.0,0.0,0.0
prev,,,late,12761,0,0,0,-0.27618798607710904,0.12585377032627415,-0.31115054280338306,-0.09089121359999999,-0.3461811598708002,-0.03945902091344896,2024-03-01,-0.2164313032498308,0.0,-0.0,-0.0,-0.0,0.0,0.0
prev,,0.02,full,16745,0,1988,37,-0.2700547978880806,0.17695795649562412,-0.40887298408370476,-0.038139770299999994,-0.4156854608916465,-0.03945902091344896,2024-03-01,-0.1612748867650526,0.0,-0.0,-0.0,-0.0,-0.18900960873400013,0.1212118499
prev,,0.02,early,3984,0,694,37,-0.004908257122377982,0.11699065455794373,-0.09772244128032172,-0.024176470399999997,-0.10845007724312061,-0.032974882951423895,2022-11-10,-0.01231992249592867,0.0,-0.0,-0.0,-0.0,-0.12213300200632492,0.0445020941
prev,,0.02,late,12761,0,1294,37,-0.26514654076570265,0.059967301937680434,-0.31115054280338306,-0.013963299899999997,-0.3616157556475157,-0.03945902091344896,2024-03-01,-0.20777881103808685,0.0,-0.0,-0.0,-0.0,-0.06687660672767531,0.07670975580000002
prev,,0.05,full,16745,0,1262,25,-0.3160571707005217,0.14328578518318313,-0.40887298408370476,-0.05046997179999999,-0.43378436418504274,-0.03945902091344896,2024-03-01,-0.18874719062437845,0.0,-0.0,-0.0,-0.0,-0.22268178004644124,0.1088816484
prev,,0.05,early,3984,0,450,25,-0.007412920645528107,0.11891488033479358,-0.09772244128032172,-0.0286053597,-0.11064371903413883,-0.0359786445601275,2022-11-10,-0.018606728527931993,0.0,-0.0,-0.0,-0.0,-0.12020877622947504,0.0400732048
prev,,0.05,late,12761,0,812,25,-0.3086442500549935,0.024370904848389538,-0.31115054280338306,-0.021864612099999993,-0.36722157604949934,-0.03945902091344896,2024-03-01,-0.24186525354987345,0.0,-0.0,-0.0,-0.0,-0.10247300381696617,0.06880844359999999
prev,,0.1,full,16745,0,806,24,-0.30258337625967313,0.17091165892403162,-0.40887298408370476,-0.0646220511,-0.4305782484233438,-0.04283839059321681,2022-11-10,-0.1807007323139284,0.0,-0.0,-0.0,-0.0,-0.19505590630559286,0.09472956910000002
