horizon_h,sample,model,n,coverage,mae_bps,rmse_bps,mae_tail_q95_bps,n_tail_q95,mae_tail_q99_bps,n_tail_q99
24,score_all,persistence,581804,1.0,3.8099046555198366,24.40043385533091,86.09603090379008,8918,251.08413967046894,1578
24,score_all,ewma_hl3,581804,1.0,3.7825639678012806,21.319422459020043,79.79531079781606,8918,231.34637062149696,1578
24,score_all,ewma_hl10,581804,1.0,4.349088011063343,21.008295454651837,84.5250389662917,8918,247.3584541560054,1578
24,score_all,ewma_hl30,581804,1.0,4.93869501594279,21.198543856377228,91.0557150061645,8918,271.7807377913473,1578
24,score_all,meanrev_phi0.5,581804,1.0,4.001198280293013,18.422759758621336,74.82038176825189,8918,214.87811089309574,1578
24,score_all,meanrev_phi0.8,581804,1.0,3.719214327824228,20.983818885145105,78.50398033774815,8918,226.7397740950472,1578
24,score_all,ols_premium,395405,0.6796189094609181,3.865560567360013,17.977320169135645,78.57996580766032,4743,240.60478385423133,788
48,score_all,persistence,581804,1.0,8.403927265196032,53.58419933689437,184.5001528314311,9112,510.1337541716329,1678
48,score_all,ewma_hl3,581804,1.0,7.723936222090834,42.93355038020211,156.94764177165663,9112,429.6800746379686,1678
48,score_all,ewma_hl10,581804,1.0,8.465846066862486,39.08668323082569,155.15889947362786,9112,422.31999378361706,1678
48,score_all,ewma_hl30,581804,1.0,9.478926868327283,37.67267318137592,162.3138288644627,9112,449.3494810832958,1678
48,score_all,meanrev_phi0.5,581804,1.0,8.19701663796495,37.36499417821639,150.06018342172467,9112,405.8887798207554,1678
48,score_all,meanrev_phi0.8,581804,1.0,7.9912872398926975,45.45942899996851,166.23636052074323,9112,455.3457658809918,1678
48,score_all,ols_premium,395405,0.6796189094609181,8.21682031526528,33.257530893121086,158.0290131838817,4785,455.6737878527789,812
72,score_all,persistence,581804,1.0,13.316444677245522,82.03014596506443,274.1829007371795,9360,758.3806010882709,1654
72,score_all,ewma_hl3,581804,1.0,11.865667123160403,63.211863826930625,226.9885395372721,9360,616.376020500553,1654
72,score_all,ewma_hl10,581804,1.0,12.56647273143542,55.597468109779115,215.47037204831673,9360,581.6569773868529,1654
72,score_all,ewma_hl30,581804,1.0,13.9114713183444,52.114466113272066,222.8210799528143,9360,610.7140530664735,1654
72,score_all,meanrev_phi0.5,581804,1.0,12.54237820273426,55.506766232152295,218.89387299019413,9360,590.7851480770661,1654
72,score_all,meanrev_phi0.8,581804,1.0,12.523920342389756,69.26513336704873,246.73468609720834,9360,676.1096723257765,1654
72,score_all,ols_premium,395405,0.6796189094609181,12.838975495885633,45.86471530294652,227.40342063752195,4866,645.4560429975421,808
