fresh_bucket,trades,net_pct_capital,mean_net_bps,tp_rate,mean_mae,share_mae_below_10pct,mean_mfe,median_age_days_censored,n_symbols,era
1_6h,224,1.6983910068150958,0.7582102708995964,0.18303571428571427,-0.08801647349215544,0.32142857142857145,0.06846218748898472,213.39583333333331,101,early
6_24h,502,-2.2539803039986066,-0.44900006055749137,0.12749003984063745,-0.08177230171630633,0.27091633466135456,0.06112619894229181,196.20833333333334,132,early
at_high_le1h,718,5.607365444634418,0.7809701176371056,0.18662952646239556,-0.10598730442534383,0.31754874651810583,0.0725269263315115,218.75,164,early
gt_24h,2540,2.030216617011216,0.07992978807130771,0.16299212598425197,-0.07950041162427496,0.21535433070866142,0.06620560855850403,180.25,166,early
1_6h,1105,-2.2205327594463586,-0.20095319090012295,0.2153846153846154,-0.10541047468899749,0.3339366515837104,0.07229306041511947,296.875,324,full
6_24h,2336,-13.69910899750393,-0.586434460509586,0.1716609589041096,-0.09116272905656693,0.2842465753424658,0.06702135100498821,295.22916666666663,369,full
at_high_le1h,2530,8.025923592861881,0.3172301815360427,0.22055335968379447,-0.11145143810285789,0.3442687747035573,0.07581248389076142,295.125,392,full
gt_24h,10774,-12.331985741319658,-0.11446060647224483,0.13476888806385742,-0.07323576655787155,0.22220159643586412,0.06095334225657313,270.10416666666663,416,full
1_6h,881,-3.9189237662614547,-0.4448267612101538,0.22360953461975028,-0.10983301301827401,0.337116912599319,0.07326708485944886,354.125,300,late
6_24h,1834,-11.445128693505325,-0.6240528186207919,0.1837513631406761,-0.09373306413007339,0.28789531079607417,0.06863496405595527,342.1666666666667,353,late
at_high_le1h,1812,2.418558148227463,0.13347451149158185,0.23399558498896247,-0.11361658599494129,0.35485651214128033,0.07711437700750615,367.4375,374,late
gt_24h,8234,-14.362202358330874,-0.17442558122821078,0.1260626669905271,-0.07130326735108691,0.22431382074325965,0.05933313866088399,325.64583333333337,404,late
