fresh_bucket,year,trades,n_symbols,net_pct_capital,median_age_days_censored
1_6h,2021,15,10,-0.018429204643784117,79.95833333333333
1_6h,2022,154,82,2.6166873993485535,180.33333333333331
1_6h,2023,349,146,-1.826912201542079,424.3333333333333
1_6h,2024,587,253,-2.991878752609049,306.9166666666667
6_24h,2021,46,16,0.12467467937316402,74.08333333333333
6_24h,2022,316,107,-1.5035327473562157,170.58333333333331
6_24h,2023,830,208,-3.380411793086054,388.7083333333333
6_24h,2024,1144,303,-8.939839136434825,307.91666666666663
at_high_le1h,2021,27,13,0.4655428343647311,91.375
at_high_le1h,2022,507,152,4.60606701783134,181.5
at_high_le1h,2023,933,228,0.8948457043341809,415.3333333333333
at_high_le1h,2024,1063,328,2.0594680363316282,306.8333333333333
gt_24h,2021,211,25,0.2655961507100432,66.04166666666667
gt_24h,2022,1991,158,9.426341803876506,177.25
gt_24h,2023,3340,242,-18.27248053000973,400.02083333333337
gt_24h,2024,5232,370,-3.75144316589648,268.20833333333337
