cell,era,trades_kept,trades_removed,trades_downweighted,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,tp_rate,mean_mae,share_mae_below_10pct,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta
baseline,full,16745,0,0,-0.20225703905408046,0.3659675652296243,-0.40887298408370476,-0.15935162020000002,-0.38737879112830864,-0.05212901624573644,2022-11-10,-0.12078652675669183,0.15819647656016722,-0.08363386066898902,0.2566736339205733,0.0,-0.0,-0.0,-0.0
baseline,early,3984,0,0,0.07393094702302853,0.24011379490335022,-0.09772244128032173,-0.06846040660000001,-0.10236025571516394,-0.05212901624573644,2022-11-10,0.1855696461421399,0.16390562248995985,-0.08503898484610539,0.24673694779116465,0.0,-0.0,-0.0,-0.0
baseline,late,12761,0,0,-0.276187986077109,0.12585377032627412,-0.31115054280338306,-0.09089121359999999,-0.3461811598708002,-0.03945902091344896,2024-03-01,-0.2164313032498307,0.1564140741321213,-0.08319517916114233,0.2597758796332576,0.0,-0.0,-0.0,-0.0
skip_h1,full,2530,14215,0,0.08025923592861885,0.2062508428194742,-0.05656326659085533,-0.0694283403,-0.06945690788936099,-0.016070728380275394,2023-12-23,0.3172301815360429,0.22055335968379447,-0.1114514381028579,0.3442687747035573,0.15971672241014997,0.08992327989999999,0.35230971749284945,0.2825162749826995
skip_h1,early,718,3266,0,0.05558302690933599,0.09251181333619596,-0.016610424526859964,-0.0203183619,-0.029310376428328677,-0.006468346337201227,2022-07-28,0.7741368650325346,0.18662952646239556,-0.10598730442534383,0.31754874651810583,0.1442847165517388,0.0484264266,0.08111201675346176,-0.014746273198277062
skip_h1,late,1812,10949,0,0.02467620901928285,0.11373902948327823,-0.03995284206399537,-0.0491099784,-0.06945690788936087,-0.016070728380275394,2023-12-23,0.13618216898058969,0.23399558498896247,-0.11361658599494127,0.35485651214128033,0.015432005858411181,0.04149685329999998,0.2711977007393877,0.2972625481809765
skip_h6,full,3635,13110,0,0.05805390833415531,0.23142054053981057,-0.08154316600565528,-0.09182346619999998,-0.10444387631757168,-0.0198133751094292,2024-08-23,0.1597081384708537,0.21898211829436037,-0.10961505170057018,0.34112792297111416,0.13454702468981358,0.06752815399999999,0.32732981807804945,0.26031094738823585
skip_h6,early,942,3042,0,0.07378687687005077,0.12190887044771057,-0.02186044867765981,-0.026261544899999996,-0.024780706278879405,-0.00652306306694716,2022-02-07,0.7833001790875878,0.18577494692144372,-0.10171398581702727,0.3184713375796178,0.11600863613278803,0.04238428040000001,0.07586199260266191,0.002237636869873898
skip_h6,late,2693,10068,0,-0.01573296853589546,0.1095116700921,-0.059682717327995474,-0.06556192129999999,-0.10444387631757146,-0.0198133751094292,2024-08-23,-0.058421717548813444,0.23059784626810248,-0.11237881109986374,0.34905310063126627,0.01853838855702563,0.025143873599999995,0.25146782547538754,0.2580733105183619
skip_h24,full,5971,10774,0,-0.0789371816408839,0.16748994404064668,-0.13746903188153062,-0.1089580938,-0.2300202338141143,-0.032781408116252575,2023-12-23,-0.13220094061444296,0.20046893317702227,-0.10239605560336848,0.31887456037514655,0.19847762118897766,0.0503935264,0.27140395220217417,0.12331985741319659
skip_h24,early,1444,2540,0,0.05428198449410189,0.11806206864238569,-0.03421013244828377,-0.029569951699999996,-0.03799162792626232,-0.010286608941496684,2023-01-08,0.3759140200422569,0.16551246537396122,-0.0947813504856132,0.30193905817174516,0.12268874820215012,0.038874273200000004,0.06351230883203794,-0.02030216617011214
skip_h24,late,4527,8234,0,-0.1332191661349858,0.049427875398260976,-0.10325889943324683,-0.0793881421,-0.23002023381411418,-0.032781408116252575,2023-12-23,-0.29427692983208703,0.211619173845814,-0.10482495646266568,0.32427656284515133,0.07578887298682752,0.0115192532,0.20789164337013621,0.1436220235833088
tilt,full,16745,0,14215,0.004078835284328157,0.2524724478520958,-0.1508856708177677,-0.09750794175000001,-0.11805194049438794,-0.021331016560417325,2023-12-23,0.002435852663080416,0.15819647656016722,-0.08363386066898902,0.2566736339205733,0.11349511737752849,0.06184367845,0.2579873132659371,0.2063358743384087
tilt,early,3984,0,3266,0.06472096942793783,0.1367615730058632,-0.03820093475292537,-0.033839668825,-0.03360184102609165,-0.01303225406143411,2022-11-10,0.16245223249984395,0.16390562248995985,-0.08503898484610539,0.24673694779116465,0.10114451730906641,0.0348092834,0.059521506527396364,-0.006813727381670048
tilt,late,12761,0,10949,-0.060642134143609666,0.11571087484623264,-0.11268473606484232,-0.063668272925,-0.11805194049438783,-0.021331016560417325,2023-12-23,-0.0475214592458347,0.1564140741321213,-0.08319517916114233,0.2597758796332576,0.012350600068462066,0.02703439505,0.1984658067385407,0.2131496017200788
