cell,era,trades_kept,trades_removed,trades_downweighted,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,tp_rate,mean_mae,share_mae_below_10pct,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta
baseline,full,16745,0,0,-0.20225703905408046,0.3659675652296243,-0.40887298408370476,-0.15935162020000002,-0.38737879112830864,-0.05212901624573644,2022-11-10,-0.12078652675669183,0.15819647656016722,-0.08363386066898902,0.2566736339205733,0.0,-0.0,-0.0,-0.0
baseline,early,3984,0,0,0.07393094702302853,0.24011379490335022,-0.09772244128032173,-0.06846040660000001,-0.10236025571516394,-0.05212901624573644,2022-11-10,0.1855696461421399,0.16390562248995985,-0.08503898484610539,0.24673694779116465,0.0,-0.0,-0.0,-0.0
baseline,late,12761,0,0,-0.276187986077109,0.12585377032627412,-0.31115054280338306,-0.09089121359999999,-0.3461811598708002,-0.03945902091344896,2024-03-01,-0.2164313032498307,0.1564140741321213,-0.08319517916114233,0.2597758796332576,0.0,-0.0,-0.0,-0.0
skip_K-0.0005,full,14931,1814,0,-0.14296002860804485,0.23436457259405924,-0.3676560363021041,-0.009668564899999996,-0.3081780012582419,-0.039640316730413676,2024-03-01,-0.09574712250220672,0.14848302190074342,-0.08049352875527188,0.24834237492465341,0.1316029926355651,0.14968305530000003,0.04121694778160071,0.059297010446035615
skip_K-0.0005,early,3341,643,0,0.0748022232957554,0.1703683531443963,-0.08250939044864095,-0.0130567394,-0.08653292802576651,-0.01886579177150629,2022-11-10,0.22389171893371862,0.14396887159533073,-0.07705420817430528,0.22987129601915593,0.06841746015426756,0.0555468535,0.015213050831680775,0.002342444177413205
skip_K-0.0005,late,11590,1171,0,-0.21776225190380025,0.06399621944966287,-0.28514664585346317,0.0033881745000000018,-0.2800808260050034,-0.039640316730413676,2024-03-01,-0.18788805168576378,0.14978429680759275,-0.0814849670694228,0.25366695427092323,0.06318553248129752,0.09413620179999999,0.026003896949919943,0.0569545662686224
skip_K-0.001,full,15440,1305,0,-0.14317160826906805,0.26235646504132926,-0.3795769964103972,-0.0259510769,-0.324534337307848,-0.039640316730413676,2024-03-01,-0.0927277255628679,0.14928756476683938,-0.08079744768366198,0.2494818652849741,0.10361110018829507,0.1334005433,0.029295987673307544,0.05908543078501247
skip_K-0.001,early,3534,450,0,0.09080362082333265,0.19718392950861385,-0.08710810878528123,-0.0192721999,-0.08662226408290463,-0.0289354801995327,2022-11-10,0.2569428998962441,0.14799094510469724,-0.07756972227327127,0.2320316921335597,0.04160188379005002,0.049331393,0.010614332495040495,0.01834384170499047
skip_K-0.001,late,11906,855,0,-0.2339752290924007,0.06517253553271538,-0.292468887625116,-0.006678877000000001,-0.2990706711662249,-0.039640316730413676,2024-03-01,-0.19651875448714992,0.14967243406685704,-0.08175551769880739,0.254661515202419,0.06200921639824507,0.0840691503,0.018681655178267042,0.04074158908002199
skip_K-0.002,full,15895,850,0,-0.15477478662435093,0.2855988574245466,-0.3901569645488975,-0.0502166795,-0.339574406966751,-0.039640316730413676,2024-03-01,-0.09737325361708143,0.15105379050015727,-0.08138196522709308,0.25158854985844603,0.08036870780507775,0.10913494070000002,0.018716019534807327,0.04748225242972957
skip_K-0.002,early,3716,268,0,0.09312022080450014,0.21482488126977045,-0.09147174196527037,-0.030232918499999997,-0.09393512114360747,-0.029148949791477412,2022-11-10,0.25059262864504883,0.15285252960172227,-0.07915252724817132,0.23708288482238968,0.023960932028893447,0.0383706744,0.006250699315051372,0.020660441686157924
skip_K-0.002,late,12179,582,0,-0.2478950074288511,0.07077397615477612,-0.2986852225836271,-0.019983760999999996,-0.29828205551830056,-0.039640316730413676,2024-03-01,-0.2035429899243379,0.15050496756712373,-0.08206220100422368,0.25601445110435994,0.056407775776184305,0.0707642663,0.012465320219755952,0.026821810743571636
half_K-0.0005,full,16745,0,1814,-0.17260853383106267,0.3001660689118418,-0.3882645101929045,-0.08451009255,-0.34135923361380693,-0.03954966882193132,2024-03-01,-0.10308064128459998,0.15819647656016722,-0.08363386066898902,0.2566736339205733,0.06580149631778255,0.07484152765000002,0.020608473890800356,0.029648505223017808
