fund_bucket,trades,net_pct_capital,mean_net_bps,tp_rate,era,arm
deep_neg,42,2.9445936047499526,7.0109371541665535,0.2857142857142857,early,gate_on
neg,119,2.6926890843415956,2.2627639364215093,0.15126050420168066,early,gate_on
pos,235,8.569189579825718,3.646463650989667,0.3191489361702128,early,gate_on
zero,637,5.992487789373419,0.9407359166991238,0.1130298273155416,early,gate_on
deep_neg,360,16.445702690829492,4.568250747452637,0.4083333333333333,full,gate_on
neg,308,6.2522830027606515,2.0299620138833285,0.22727272727272727,full,gate_on
pos,384,11.193971402418889,2.9150967193799184,0.3541666666666667,full,gate_on
zero,1248,20.12459580911079,1.6125477411146465,0.23317307692307693,full,gate_on
deep_neg,318,13.501109086079541,4.245631788075327,0.42452830188679247,late,gate_on
neg,189,3.559593918419056,1.883383025618548,0.2751322751322751,late,gate_on
pos,149,2.624781822593172,1.7615985386531352,0.40939597315436244,late,gate_on
zero,611,14.132108019737371,2.3129473027393406,0.35842880523731585,late,gate_on
deep_neg,99,3.5054585735312798,3.5408672459911914,0.24242424242424243,early,gate_off
neg,197,3.8274024039124175,1.942843859854019,0.16243654822335024,early,gate_off
pos,259,8.186209710952259,3.160698730097397,0.3127413127413127,early,gate_off
zero,942,8.347884644410462,0.8861873295552507,0.11358811040339703,early,gate_off
deep_neg,866,19.607758378526967,2.264175332393414,0.42609699769053117,full,gate_off
neg,614,2.7238021557624457,0.4436159862805286,0.28013029315960913,full,gate_off
pos,489,3.9505961340312417,0.8078928699450392,0.35991820040899797,full,gate_off
zero,2050,25.2729806668622,1.2328283252127903,0.23609756097560974,full,gate_off
deep_neg,767,16.10229980499569,2.099387197522254,0.4498044328552803,late,gate_off
neg,417,-1.1036002481499718,-0.26465233768584456,0.33573141486810554,late,gate_off
pos,230,-4.2356135769210175,-1.8415711204004424,0.41304347826086957,late,gate_off
zero,1108,16.92509602245174,1.5275357420985325,0.34025270758122744,late,gate_off
