action,era,trades_kept,trades_removed,trades_downweighted,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,tp_rate,mean_mae,share_mae_below_10pct,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta
baseline,full,15212,0,0,-0.3159694625379959,0.19237438773563054,-0.3714513031736264,-0.13689254709999998,-0.3873787911283084,-0.05212901624573644,2022-11-10,-0.20771066430317903,0.1525111753878517,-0.0826175767820146,0.25670523271101764,0.0,-0.0,-0.0,-0.0
baseline,early,2451,0,0,-0.03978147646088691,0.06652061740935644,-0.06030076037024334,-0.046001333500000005,-0.10236025571516383,-0.05212901624573644,2022-11-10,-0.16230712550341456,0.13219094247246022,-0.0796103209843609,0.24071807425540595,0.0,-0.0,-0.0,-0.0
baseline,late,12761,0,0,-0.276187986077109,0.12585377032627412,-0.31115054280338306,-0.09089121359999999,-0.3461811598708002,-0.03945902091344896,2024-03-01,-0.2164313032498307,0.1564140741321213,-0.08319517916114233,0.2597758796332576,0.0,-0.0,-0.0,-0.0
drop_bottom_decile,full,12893,2319,0,-0.26880632141232763,0.1745880986436336,-0.30814425345596125,-0.1352501666,-0.3536669175373762,-0.04008031753490325,2022-11-10,-0.208490127520614,0.16156053672535484,-0.0862756319862599,0.2703792755758939,0.01778628909199699,0.0016423804999999999,0.06330704971766518,0.047163141125668204
drop_bottom_decile,early,2066,385,0,-0.030504581761857143,0.06054135989946247,-0.04967370786131965,-0.041372233800000005,-0.09535496510628605,-0.04008031753490325,2022-11-10,-0.1476504441522611,0.1398838334946757,-0.08153463879046678,0.24927395934172314,0.0060261197755825955,0.0046258495,0.010627052508923691,0.009226782233341103
drop_bottom_decile,late,10827,1934,0,-0.2383017396504705,0.1140467387441711,-0.2584705455946416,-0.0938779328,-0.32774440428536455,-0.039095679301132974,2024-03-01,-0.2200995101602203,0.1656968689387642,-0.08718030474348798,0.2744065761522121,0.011760169316414406,-0.002983469,0.05267999720874149,0.03793635889232709
quintile_sizing,full,15212,0,7416,-0.28989938044572144,0.19875622446422087,-0.30622050438494236,-0.18243510052499998,-0.40118710910385724,-0.05157146670885429,2022-11-10,-0.19057282437925419,0.1525111753878517,-0.0826175767820146,0.25670523271101764,-0.006381836728590329,-0.04554255342500001,0.065230798788684,0.026070082092274353
quintile_sizing,early,2451,0,1305,-0.02352261320407509,0.07552064214703909,-0.04742243400111423,-0.05162082135,-0.08610025339730676,-0.05157146670885429,2022-11-10,-0.09597149410067357,0.13219094247246022,-0.0796103209843609,0.24071807425540595,-0.009044234781209583,-0.005727115825000001,0.012878326369129105,0.01619544532533869
quintile_sizing,late,12761,0,6111,-0.26637676724164633,0.12323558231718178,-0.2587980703838281,-0.130814279175,-0.37753747672576576,-0.045635587785135864,2023-12-23,-0.20874286281768384,0.1564140741321213,-0.08319517916114233,0.2597758796332576,0.0026623980526192664,-0.0398154376,0.05235247241955489,0.009874636766935646
skip_h1,full,2306,12906,0,0.0749451911228472,0.19085869662343313,-0.051242018800585945,-0.0646714867,-0.06945690788936099,-0.016070728380275394,2023-12-23,0.3250008288067962,0.22159583694709453,-0.11038141006595076,0.34388551604509976,0.001515691112197251,0.07222106040000001,0.3202092843730405,0.39091465366084316
