wf_decile,trades,mean_net_per_unit_bps,mean_net_bps,win_rate,era,arm
2,18,80.92044770703633,1.8923043208229275,0.7222222222222222,early,gate_on
3,13,-20.91585858825712,-0.5614397699662755,0.46153846153846156,early,gate_on
4,44,42.45732438598417,0.49628288779751656,0.6136363636363636,early,gate_on
5,45,109.43766245747305,1.831572669016924,0.7111111111111111,early,gate_on
6,64,48.42816908657578,2.1254455215149446,0.671875,early,gate_on
7,87,12.114221613598515,1.9753802797965863,0.6781609195402298,early,gate_on
8,126,265.20721968884425,3.6873560551140083,0.7380952380952381,early,gate_on
9,202,268.5354607788359,3.4782804292073117,0.6683168316831684,early,gate_on
10,434,60.5248778094872,0.9533869136669667,0.6497695852534562,early,gate_on
1,19,-471.26914851933077,-3.8092552108558233,0.7368421052631579,full,gate_on
2,59,310.07033839836924,5.245999655214128,0.7457627118644068,full,gate_on
3,50,274.6863996977865,3.1169483615380345,0.6,full,gate_on
4,108,112.52628002284784,2.015843394365826,0.7037037037037037,full,gate_on
5,102,166.1287537848576,1.6018913820897454,0.7254901960784313,full,gate_on
6,153,152.83191166877916,2.805844681826963,0.6993464052287581,full,gate_on
7,189,101.35015716405518,1.9280649100867773,0.6984126984126984,full,gate_on
8,295,333.9943836639688,4.523222427335686,0.7423728813559322,full,gate_on
9,393,232.86084141405135,2.9760670692130655,0.6768447837150128,full,gate_on
10,932,132.77734074100863,1.42695520990167,0.6738197424892703,full,gate_on
1,19,-471.26914851933077,-3.8092552108558233,0.7368421052631579,late,gate_on
2,41,410.67272943358853,6.718353704459045,0.7560975609756098,late,gate_on
3,37,378.54665260909906,4.409355002336845,0.6486486486486487,late,gate_on
4,64,160.6986870231916,3.060541242631538,0.765625,late,gate_on
5,57,210.8848785170033,1.420564050305131,0.7368421052631579,late,gate_on
6,89,227.90876026721756,3.2951204825007734,0.7191011235955056,late,gate_on
7,102,177.4631610159153,1.8877076829813524,0.7156862745098039,late,gate_on
8,169,385.2794881661327,5.14641274035303,0.7455621301775148,late,gate_on
9,191,195.1316628188343,2.444930426706062,0.6858638743455497,late,gate_on
10,498,195.74434658896098,1.8396633234877364,0.6947791164658634,late,gate_on
1,5,-111.05121948592237,-3.666071577618084,0.6,early,gate_off
2,27,-27.527235284072646,-0.5201388568185916,0.5925925925925926,early,gate_off
3,27,-108.24307504243589,-2.3261441515637253,0.3333333333333333,early,gate_off
4,68,69.82561554327339,1.2012678380316117,0.6617647058823529,early,gate_off
5,58,112.34503653242136,1.9684444980029638,0.6551724137931034,early,gate_off
6,98,78.41264771063246,1.5815972903009121,0.7142857142857143,early,gate_off
7,111,8.475834197573622,1.8797487010521827,0.7117117117117117,early,gate_off
8,213,236.70965120836829,3.167656441768696,0.704225352112676,early,gate_off
9,274,183.95656826830003,2.2534428717145567,0.6423357664233577,early,gate_off
10,616,74.75182460191728,1.023079106025862,0.6444805194805194,early,gate_off
1,32,-563.860284589735,-6.955174364962606,0.71875,full,gate_off
2,98,306.35717647449394,4.671304289795812,0.6836734693877551,full,gate_off
3,112,-24.116822393693898,0.2176681685306445,0.5357142857142857,full,gate_off
4,177,98.0814559978929,2.116998990489526,0.6610169491525424,full,gate_off
5,168,29.92714633707383,0.434616657664414,0.6190476190476191,full,gate_off
6,243,196.2897252291325,2.7024228206942604,0.7366255144032922,full,gate_off
7,330,62.65831892212265,1.5925092724183065,0.6909090909090909,full,gate_off
8,492,166.81170628467586,2.6250748131273784,0.741869918699187,full,gate_off
9,630,233.63331843484596,2.798183512078063,0.6730158730158731,full,gate_off
10,1737,16.15769832974173,0.1218071457241238,0.6741508347725964,full,gate_off
1,27,-647.713815164515,-7.56426747373011,0.7407407407407407,late,gate_off
2,71,433.3273048897235,6.6455150638604445,0.7183098591549296,late,gate_off
3,85,2.6056343300241473,1.0257026702076797,0.6,late,gate_off
4,109,115.70895279527022,2.688280810371528,0.6605504587155964,late,gate_off
5,110,-13.529559402291229,-0.37412893087773047,0.6,late,gate_off
6,145,275.95837072439457,3.4599462826152823,0.7517241379310344,late,gate_off
7,219,90.12067419346943,1.4469221647545611,0.680365296803653,late,gate_off
8,279,113.44875908486765,2.2108458278205667,0.7706093189964157,late,gate_off
9,356,271.86767109112003,3.2174501847173906,0.6966292134831461,late,gate_off
10,1121,-16.04032288672583,-0.37345023834890995,0.6904549509366636,late,gate_off
