member,era,trades_kept,trades_removed,trades_downweighted,net_return,gross_return,cost_return,funding_return,max_drawdown,mar,worst_day_return,worst_day,per_trade_net_bps,tp_rate,mean_mae,share_mae_below_10pct,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta
baseline,full,16745,0,0,-0.20225703905408046,0.3659675652296243,-0.40887298408370476,-0.15935162020000002,-0.38737879112830864,-0.5221169658384534,-0.05212901624573644,2022-11-10,-0.12078652675669183,0.15819647656016722,-0.08363386066898901,0.2566736339205733,0.0,-0.0,-0.0,-0.0
baseline,early,3984,0,0,0.07393094702302853,0.24011379490335022,-0.09772244128032173,-0.06846040660000001,-0.10236025571516394,0.722262234560598,-0.05212901624573644,2022-11-10,0.1855696461421399,0.16390562248995985,-0.08503898484610539,0.24673694779116465,0.0,-0.0,-0.0,-0.0
baseline,late,12761,0,0,-0.276187986077109,0.12585377032627412,-0.31115054280338306,-0.09089121359999999,-0.3461811598708002,-0.7978134517204412,-0.03945902091344896,2024-03-01,-0.2164313032498307,0.1564140741321213,-0.08319517916114233,0.2597758796332576,0.0,-0.0,-0.0,-0.0
binary_gate,full,10476,6269,0,-0.13481102788755234,0.14888962535590464,-0.25474399574345696,-0.028956657499999996,-0.35845987112361655,-0.3760840159457127,-0.03945902091344896,2024-03-01,-0.1286855936307296,0.16227567773959525,-0.08545347576339866,0.26699121802214587,0.21707793987371965,0.1303949627,0.1541289883402478,0.06744601116652818
binary_gate,early,1943,2041,0,0.015667810036046646,0.07615124104726093,-0.047532887711214264,-0.0129505433,-0.07670244035775342,0.20426742569035972,-0.017035452082099094,2023-01-20,0.08063721068474856,0.14565105506948017,-0.077996280152707,0.2465259907359753,0.16396255385608927,0.0555098633,0.05018955356910747,-0.05826313698698181
binary_gate,late,8533,4228,0,-0.150478837923599,0.0727383843086437,-0.20721110803224269,-0.016006114199999998,-0.3267616906642443,-0.4605155445783873,-0.03945902091344896,2024-03-01,-0.17634927683534396,0.16606117426461972,-0.08715151057783367,0.27165123637642097,0.05311538601763038,0.0748850994,0.10393943477114038,0.12570914815351
linear,full,10476,6269,4429,-0.13498235658175747,0.07339247026043089,-0.200095580667866,-0.008279246174322364,-0.30816910005088793,-0.43801392339292894,-0.03945902091344896,2024-03-01,-0.1288491376305436,0.16227567773959525,-0.08545347576339866,0.26699121802214587,0.29257509496919337,0.15107237402567764,0.2087774034158388,0.06727468247232304
linear,early,1943,2041,922,0.0034847182959172702,0.04370418624677754,-0.03519298901503978,-0.00502647893582048,-0.06093641385421644,0.057186140035317294,-0.017035452082099094,2023-01-20,0.017934731322271073,0.14565105506948017,-0.077996280152707,0.2465259907359753,0.19633806582242386,0.06344101182928097,0.06252945226528195,-0.07036760172786101
linear,late,8533,4228,3507,-0.13846707487767473,0.029688284013653355,-0.16490259165282622,-0.003252767238501884,-0.2911200821964153,-0.4756355996913076,-0.03945902091344896,2024-03-01,-0.16227244213954617,0.16606117426461972,-0.08715151057783367,0.27165123637642097,0.09623702914676945,0.08763136219639667,0.14624795115055686,0.13764228420018404
two_sided,full,16745,0,10698,-0.20398349195749782,0.11833784443050714,-0.2616203403630049,-0.060700996024999995,-0.32796085523594587,-0.6219751189840792,-0.03945902091344896,2024-03-01,-0.12181755267691717,0.15819647656016722,-0.08363386066898901,0.2566736339205733,0.2476297207991172,0.09865062417499999,0.14725264372069988,-0.0017264529034172514
two_sided,early,3984,0,2963,-0.0013115561682605613,0.07681001596228618,-0.05297963778054675,-0.025141934350000002,-0.07510253908421038,-0.01746353963865256,-0.022842552368783523,2022-11-10,-0.003292058655272493,0.16390562248995985,-0.08503898484610539,0.24673694779116465,0.1618884181518604,0.04345862115000001,0.04474280349977498,-0.07368699350208541
two_sided,late,12761,0,7735,-0.20267193578923726,0.04152782846822095,-0.20864070258245818,-0.03555906167499999,-0.290867497346908,-0.6967844040254425,-0.03945902091344896,2024-03-01,-0.15882135866251645,0.1564140741321213,-0.08319517916114233,0.2597758796332576,0.08574130264725678,0.055192003025,0.10250984022092488,0.07196054059866813
