member,era,tail_days_in_window,tail_sum_return,tail_negative_days,tail_worst_return,return_2024-08-06
baseline,full,156,-0.5181781620471608,156,-0.03135471455070708,-0.03135471455070708
baseline,early,58,-0.12666664788502088,58,-0.01636205581241655,
baseline,late,98,-0.3915115141621399,98,-0.03135471455070708,-0.03135471455070708
binary_gate,full,156,-0.2760313967258699,82,-0.030930531244318746,-0.030930531244318746
binary_gate,early,58,-0.05371252182505003,29,-0.01636205581241655,
binary_gate,late,98,-0.22231887490081984,53,-0.030930531244318746,-0.030930531244318746
linear,full,156,-0.1884970544707284,80,-0.01347935525629925,-0.011273450076445379
linear,early,58,-0.04038924225597687,28,-0.01347935525629925,
linear,late,98,-0.14810781221475153,52,-0.013415277725436246,-0.011273450076445379
two_sided,full,156,-0.29373773004715337,155,-0.01567735727535354,-0.01567735727535354
two_sided,early,58,-0.06148949031400822,58,-0.008181027906208276,
two_sided,late,98,-0.23224823973314523,97,-0.01567735727535354,-0.01567735727535354
