fresh_bucket,downtrend,late,n,net_pct,mean_net_bps,tp_rate
1_6h,false,false,126,0.23623304413070245,0.18748654296087494,0.14285714285714285
1_6h,false,true,615,-0.27672097340626933,-0.04499528022866168,0.24227642276422764
1_6h,true,false,98,1.4621579626843935,1.4919979211065242,0.23469387755102042
1_6h,true,true,266,-3.642202792855185,-1.36924917024631,0.18045112781954886
6_24h,false,false,329,-2.436588436668747,-0.7406043880452118,0.10638297872340426
6_24h,false,true,1326,-12.055587522615403,-0.9091694964265009,0.18250377073906485
6_24h,true,false,173,0.1826081326701402,0.10555383391337585,0.1676300578034682
6_24h,true,true,508,0.6104588291100774,0.12016906084844044,0.18700787401574803
at_high_le1h,false,false,397,4.217058270188527,1.0622313023144907,0.21158690176322417
at_high_le1h,false,true,1245,3.225588769086006,0.2590834352679523,0.26024096385542167
at_high_le1h,true,false,321,1.39030717444589,0.43311749982738,0.1557632398753894
at_high_le1h,true,true,567,-0.8070306208585435,-0.1423334428321946,0.1763668430335097
gt_24h,false,false,1091,-0.7610238118865399,-0.06975470319766636,0.13382218148487626
gt_24h,false,true,5347,-5.630062127583525,-0.10529384940309565,0.13128857303160651
gt_24h,true,false,1449,2.7912404288977553,0.19263218970999002,0.1849551414768806
gt_24h,true,true,2887,-8.73214023074735,-0.30246415762893486,0.11638378940076204
