bucket,trades,net_pct_capital,mean_net_bps,tp_rate,era,axis
deep_neg,57,0.560864968781327,0.9839736294409246,0.21052631578947367,early,fund_bucket
neg,80,1.0734245522586623,1.3417806903233278,0.175,early,fund_bucket
pos,24,-0.3829798688734568,-1.5957494536394035,0.25,early,fund_bucket
zero,304,2.04253617629395,0.6718869000966939,0.11513157894736842,early,fund_bucket
deep_neg,520,3.3409049628363365,0.6424817236223723,0.43653846153846154,full,fund_bucket
neg,310,-3.5377981083280727,-1.141225196234862,0.32903225806451614,full,fund_bucket
pos,107,-7.212960413728746,-6.741084498811912,0.37383177570093457,full,fund_bucket
zero,805,5.228893027608309,0.6495519288954421,0.23850931677018633,full,fund_bucket
deep_neg,463,2.7800399940550093,0.6004406034676045,0.46436285097192226,late,fund_bucket
neg,230,-4.611222660586735,-2.0048794176464066,0.3826086956521739,late,fund_bucket
pos,83,-6.82998054485529,-8.228892222717215,0.40963855421686746,late,fund_bucket
zero,501,3.18635685131436,0.6359993715198322,0.313373253493014,late,fund_bucket
1_6h,7,0.5362466539572719,7.660666485103884,0.42857142857142855,early,fresh_bucket
6_24h,12,-0.5245841142217729,-4.37153428518144,0.08333333333333333,early,fresh_bucket
at_high_le1h,216,0.21957411415747335,0.10165468248031173,0.1712962962962963,early,fresh_bucket
gt_24h,230,3.0626091745675095,1.3315692063337,0.11304347826086956,early,fresh_bucket
1_6h,29,0.3781834791447673,1.304080962568163,0.3448275862068966,full,fresh_bucket
6_24h,50,0.9699829081067048,1.9399658162134097,0.4,full,fresh_bucket
at_high_le1h,833,5.937608314135045,0.7127981169429826,0.39735894357743096,full,fresh_bucket
gt_24h,830,-9.46673523299869,-1.1405705099998424,0.24096385542168675,full,fresh_bucket
1_6h,22,-0.15806317481250456,-0.7184689764204752,0.3181818181818182,late,fresh_bucket
6_24h,38,1.4945670223284777,3.933071111390731,0.5,late,fresh_bucket
at_high_le1h,617,5.718034199977572,0.9267478444047927,0.47649918962722854,late,fresh_bucket
gt_24h,600,-12.529344407566201,-2.0882240679277,0.29,late,fresh_bucket
