side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
short,1,pump_le0,pooled,473,193,192.3610030122568,-44.37540105708244,102.98560195517432,57.98560195517431,350.0779876253645,775.7333709110867,0.6596194503171248,pump_cell
short,1,pump_le0,e2122,88,41,21.603413161035675,-10.574388636363638,-33.970975475328025,-78.970975475328,430.3815687897294,510.634381387189,0.6136363636363636,pump_cell
short,1,pump_le0,e2324,177,81,391.6668839587929,-21.48606553672316,325.1808184220696,280.18081842206965,218.36497929878178,599.5985840948626,0.6384180790960452,pump_cell
short,1,pump_le0,e2526,208,71,95.00295964384603,-78.1537735576923,-28.150813913846182,-73.15081391384626,739.6544173422624,1162.1645351147365,0.6971153846153846,pump_cell
short,1,pump_le0,pre2025,265,122,268.77788233538666,-17.862565283018867,205.91531705236784,160.91531705236778,214.2249498301143,557.7740585774063,0.630188679245283,pump_cell
short,1,pump_le0,post2025,208,71,95.00295964384603,-78.1537735576923,-28.150813913846182,-73.15081391384626,755.124783866021,1162.1645351147365,0.6971153846153846,pump_cell
short,1,pump_0_25,pooled,320,146,237.44226612654802,-22.5432378125,169.899028314048,124.899028314048,163.4191901548603,492.850891064454,0.60625,pump_cell
short,1,pump_0_25,e2122,84,28,495.71255713193295,49.84128452380952,500.5538416557426,455.55384165574253,264.1343817049311,601.0512380491022,0.6904761904761905,pump_cell
short,1,pump_0_25,e2324,123,66,261.7765220982629,-1.8945617886178858,214.88196030964502,169.88196030964505,260.7118584626682,638.3673084040645,0.6504065040650406,pump_cell
short,1,pump_0_25,e2526,113,52,18.96600126837753,-98.82719380530973,-124.86119253693228,-169.86119253693226,303.4799720030492,-14.961270505229551,0.49557522123893805,pump_cell
short,1,pump_0_25,pre2025,207,94,356.7070870394623,19.09969468599034,330.8067817254527,285.80678172545265,194.0176086839368,623.3397333333336,0.6666666666666666,pump_cell
short,1,pump_0_25,post2025,113,52,18.96600126837753,-98.82719380530973,-124.86119253693228,-169.86119253693226,304.88082641052466,-14.961270505229551,0.49557522123893805,pump_cell
