side,entry_day,pump_cell,fund_cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
short,1,pump_le0,fund_neg,pooled,68,58,859.0069202240235,-268.42569558823527,545.5812246357882,500.58122463578826,548.1537602483853,1469.9665305268716,0.7058823529411765
short,1,pump_le0,fund_neg,e2122,8,8,698.5962411093002,-239.17888749999997,414.4173536093002,369.4173536093003,742.7092925142027,757.5032149747968,0.625
short,1,pump_le0,fund_neg,e2324,21,19,1318.5308764234278,-225.10691428571428,1048.4239621377135,1003.4239621377134,535.9731781373496,1363.3685779960701,0.7142857142857143
short,1,pump_le0,fund_neg,e2526,39,31,644.4756984991595,-297.7505384615384,301.72516003762087,256.725160037621,912.8427809075347,1588.6984777036187,0.717948717948718
short,1,pump_le0,fund_neg,pre2025,29,27,1147.514425302289,-228.98883793103448,873.5255873712547,828.5255873712543,440.11500263829083,1026.0680579659538,0.6896551724137931
short,1,pump_le0,fund_neg,post2025,39,31,644.4756984991595,-297.7505384615384,301.72516003762087,256.725160037621,917.3806421141729,1588.6984777036187,0.717948717948718
short,2,pump_le0,fund_neg,pooled,68,59,517.8703160113591,-209.03332500000005,263.8369910113591,218.83699101135915,479.5017186988812,868.1610664474925,0.7352941176470589
short,2,pump_le0,fund_neg,e2122,9,9,362.98815621558975,-204.99,112.99815621558977,67.99815621558974,488.7286022377439,325.7465632183903,0.5555555555555556
short,2,pump_le0,fund_neg,e2324,26,23,806.1702286396325,-155.9063576923077,605.2638709473249,560.2638709473247,369.856291118808,877.5451020841482,0.7692307692307693
short,2,pump_le0,fund_neg,e2526,33,27,332.9655193394447,-251.99366060606062,35.97185873338397,-9.028141266616005,982.209934554383,993.1858126363575,0.7575757575757576
short,2,pump_le0,fund_neg,pre2025,35,32,692.2091243020213,-168.5278657142857,478.6812585877358,433.6812585877357,316.9387258350635,703.3283416195861,0.7142857142857143
short,2,pump_le0,fund_neg,post2025,33,27,332.9655193394447,-251.99366060606062,35.97185873338397,-9.028141266616005,985.413599693335,993.1858126363575,0.7575757575757576
long,1,pump_le0,fund_neg,pooled,68,58,-859.0069202240235,268.42569558823527,-635.5812246357882,-680.5812246357883,562.3747443627647,-1559.9665305268718,0.29411764705882354
long,1,pump_le0,fund_neg,e2122,8,8,-698.5962411093002,239.17888749999997,-504.4173536093003,-549.4173536093003,736.601081647323,-847.5032149747968,0.375
long,1,pump_le0,fund_neg,e2324,21,19,-1318.5308764234278,225.10691428571428,-1138.4239621377133,-1183.4239621377133,534.0781237339595,-1453.3685779960704,0.2857142857142857
