side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
short,1,all,pooled,879,219,176.47844229494893,-52.105828441410694,79.37261385353827,34.37261385353819,207.43535766032375,623.3397333333336,0.6302616609783845
short,1,all,e2122,179,52,274.0523347806014,22.26271787709497,251.31505265769638,206.31505265769636,288.0557173603583,557.0923861347286,0.6536312849162011
short,1,all,e2324,336,91,334.75773307491437,-21.16594851190476,268.5917845630096,223.59178456300953,179.67472784369386,636.6495739032462,0.6398809523809523
short,1,all,e2526,364,77,-17.608284235271285,-117.2370631868132,-179.8453474220845,-224.84534742208456,449.8298652234418,676.6028922814238,0.6098901098901099
short,1,all,pre2025,515,143,313.65818687164835,-6.071324660194172,262.5868622114541,217.58686221145413,150.8143190883314,617.8321377933565,0.6446601941747573
short,1,all,post2025,364,77,-17.608284235271285,-117.2370631868132,-179.8453474220845,-224.84534742208456,453.6078800506973,676.6028922814238,0.6098901098901099
short,2,all,pooled,879,219,78.76932518760718,-40.04026564277589,-6.270940455168698,-51.27094045516876,186.25663175071452,539.3912391420918,0.6291240045506257
short,2,all,e2122,179,52,97.73012208185838,16.403529608938545,69.13365169079695,24.13365169079697,248.26026294071553,471.01703272075247,0.6145251396648045
short,2,all,e2324,336,91,368.4752814649221,-14.17609017857143,309.29919128635066,264.29919128635066,157.4453340287705,498.93192359330374,0.6428571428571429
short,2,all,e2526,364,77,-197.97568567296628,-91.67159065934067,-334.64727633230706,-379.6472763323072,402.8554273638428,614.6040554548579,0.6236263736263736
short,2,all,pre2025,515,143,274.3716241259543,-3.5474456310679625,225.82417849488638,180.82417849488638,128.5971144366383,483.0814741505148,0.6330097087378641
short,2,all,post2025,364,77,-197.97568567296628,-91.67159065934067,-334.64727633230706,-379.6472763323072,414.44840876000484,614.6040554548579,0.6236263736263736
long,1,all,pooled,879,219,-176.47844229494893,52.105828441410694,-169.37261385353824,-214.37261385353824,213.8727636671337,-713.3397333333336,0.3503981797497156
long,1,all,e2122,179,52,-274.0523347806014,-22.26271787709497,-341.3150526576964,-386.31505265769647,266.92237087767813,-647.0923861347286,0.33519553072625696
long,1,all,e2324,336,91,-334.75773307491437,21.16594851190476,-358.5917845630095,-403.5917845630096,175.93974361463498,-726.6495739032462,0.33630952380952384
long,1,all,e2526,364,77,17.608284235271285,117.2370631868132,89.84534742208442,44.845347422084366,462.35042572245305,-766.6028922814239,0.3708791208791209
long,1,all,pre2025,515,143,-313.65818687164835,6.071324660194172,-352.58686221145405,-397.58686221145416,146.57916912380972,-707.8321377933565,0.3359223300970874
long,1,all,post2025,364,77,17.608284235271285,117.2370631868132,89.84534742208442,44.845347422084366,442.05979769449687,-766.6028922814239,0.3708791208791209
long,2,all,pooled,879,219,-78.76932518760718,40.04026564277589,-83.72905954483133,-128.72905954483136,183.16280787076656,-629.3912391420918,0.34698521046643915
long,2,all,e2122,179,52,-97.73012208185838,-16.403529608938545,-159.13365169079694,-204.13365169079694,248.9303205154305,-561.0170327207524,0.36312849162011174
long,2,all,e2324,336,91,-368.4752814649221,14.17609017857143,-399.29919128635066,-444.2991912863507,158.93518054585388,-588.9319235933037,0.3273809523809524
long,2,all,e2526,364,77,197.97568567296628,91.67159065934067,244.6472763323071,199.64727633230711,406.4084326058361,-704.6040554548579,0.35714285714285715
long,2,all,pre2025,515,143,-274.3716241259543,3.5474456310679625,-315.8241784948864,-360.82417849488644,133.26352489948542,-573.0814741505147,0.33980582524271846
long,2,all,post2025,364,77,197.97568567296628,91.67159065934067,244.6472763323071,199.64727633230711,396.0498371005596,-704.6040554548579,0.35714285714285715
