side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
short,1,pump_le0,pooled,431,166,5.489244370083046,-70.75609443155453,-110.2668500614714,-155.26685006147144,202.2112452661224,541.1684018348625,0.6264501160092807,pump_cell
short,1,pump_le0,e2122,32,26,304.36170545859017,-23.678237499999998,235.68346795859014,190.68346795859011,394.5325791614981,802.0452365964551,0.625,pump_cell
short,1,pump_le0,e2324,152,69,34.26503339348165,-9.143684210526313,-19.878650817044694,-64.87865081704464,302.8192365220271,564.353894777019,0.631578947368421,pump_cell
short,1,pump_le0,e2526,247,72,-50.93925233594443,-114.77057935222672,-210.70983168817114,-255.7098316881714,305.8144266656335,452.54635101283355,0.6234817813765182,pump_cell
short,1,pump_le0,pre2025,184,95,81.23836766567439,-11.671432608695651,24.56693505697874,-20.433064943021243,260.85520005614734,579.606956718028,0.6304347826086957,pump_cell
short,1,pump_le0,post2025,247,72,-50.93925233594443,-114.77057935222672,-210.70983168817114,-255.7098316881714,293.49341562024125,452.54635101283355,0.6234817813765182,pump_cell
short,1,pump_0_25,pooled,166,101,503.422231726153,-30.710012650602405,427.7122190755504,382.7122190755503,191.07421637092256,315.1551375203658,0.6204819277108434,pump_cell
short,1,pump_0_25,e2122,14,12,1886.0917921647674,1.546564285714288,1842.638356450481,1797.6383564504818,313.42735944212967,1525.10440288898,0.9285714285714286,pump_cell
short,1,pump_0_25,e2324,54,40,523.245081687209,-7.251403703703702,470.99367798350534,425.9936779835054,249.3959907533856,472.22098150263975,0.6481481481481481,pump_cell
short,1,pump_0_25,e2526,98,49,294.97521392985055,-48.24426734693876,201.7309465829117,156.7309465829117,276.5708783751353,131.7740581461282,0.5612244897959183,pump_cell
short,1,pump_0_25,pre2025,68,52,803.8311691384708,-5.440057352941178,753.3911117855298,708.3911117855299,227.95478465356973,886.3653638022322,0.7058823529411765,pump_cell
short,1,pump_0_25,post2025,98,49,294.97521392985055,-48.24426734693876,201.7309465829117,156.7309465829117,269.75990521871734,131.7740581461282,0.5612244897959183,pump_cell
short,1,pump_25_100,pooled,54,43,-626.6642451466818,-146.32695740740738,-817.9912025540898,-862.9912025540897,633.5564625940569,340.0536432909945,0.5555555555555556,pump_cell
short,1,pump_25_100,e2122,6,5,-1885.1932946004335,-121.34445000000001,-2051.5377446004336,-2096.5377446004336,1007.500591961082,-1788.0230925263193,0.3333333333333333,pump_cell
short,1,pump_25_100,e2324,20,17,110.71734563871416,-225.49751499999996,-159.78016936128586,-204.78016936128597,566.3071369927643,376.6312268252582,0.6,pump_cell
short,1,pump_25_100,e2526,28,21,-883.6805851104468,-95.12995357142857,-1023.8105386818759,-1068.8105386818756,1125.2237592668025,777.4801477701743,0.5714285714285714,pump_cell
short,1,pump_25_100,pre2025,26,22,-349.8774174933969,-201.46219230769228,-596.3396098010893,-641.3396098010894,530.4984895450062,254.71354615833053,0.5384615384615384,pump_cell
short,1,pump_25_100,post2025,28,21,-883.6805851104468,-95.12995357142857,-1023.8105386818759,-1068.8105386818756,1109.4204997132924,777.4801477701743,0.5714285714285714,pump_cell
short,1,pump_gt100,pooled,8,8,705.5651013779101,-224.40357500000002,436.16152637791004,391.16152637790987,879.6907876858317,-140.3081846979199,0.375,pump_cell
short,1,pump_gt100,e2122,0,,,,,,,,,pump_cell
short,1,pump_gt100,e2324,4,4,-143.9779475280352,-341.41499999999996,-530.392947528035,-575.3929475280352,1216.1024394913004,-1323.3277687280467,0.25,pump_cell
short,1,pump_gt100,e2526,4,4,1555.1081502838551,-107.39215,1402.7160002838552,1357.716000283855,1155.5425336310402,1211.8870476934692,0.5,pump_cell
