symbol,d0,era,week_block,side,entry_day,gross,funding,net45,net90,n_funding_events_hold,pump_cell,tdecay_cell,fund_cell,crowd_cell,btc_cell,pump01,tdecay,fund8h,btc30d
0GUSDT,2025-09-18,e2526,105644,short,1,-0.3955369394092582,-0.1263374,-0.5263743394092582,-0.5308743394092582,98,pump_le0,tdec_30_70,fund_flat,crowd_ge5,btc_up,-0.003705435838399773,0.38243290682941367,0.0001,0.011810489360491339
0GUSDT,2025-09-18,e2526,105644,long,1,0.3955369394092582,0.1263374,0.5173743394092583,0.5128743394092582,98,pump_le0,tdec_30_70,fund_flat,crowd_ge5,btc_up,-0.003705435838399773,0.38243290682941367,0.0001,0.011810489360491339
0GUSDT,2025-09-18,e2526,105644,short,2,-0.46399484828970794,-0.1266374,-0.5951322482897079,-0.599632248289708,92,pump_le0,tdec_lt30,fund_flat,crowd_ge5,btc_up,-0.003705435838399773,0.1336534084856336,0.0001,0.02812233799445507
0GUSDT,2025-09-18,e2526,105644,long,2,0.46399484828970794,0.1266374,0.586132248289708,0.5816322482897079,92,pump_le0,tdec_lt30,fund_flat,crowd_ge5,btc_up,-0.003705435838399773,0.1336534084856336,0.0001,0.02812233799445507
1000000BOBUSDT,2025-06-06,e2526,105629,short,1,0.465581051073279,0.01664603,0.477727081073279,0.473227081073279,35,pump_0_25,tdec_ge70,fund_pos,crowd_ge5,btc_up,0.10613038583563594,1.3395790934261578,0.00114614,0.022081196883406706
1000000BOBUSDT,2025-06-06,e2526,105629,long,1,-0.465581051073279,-0.01664603,-0.486727081073279,-0.491227081073279,35,pump_0_25,tdec_ge70,fund_pos,crowd_ge5,btc_up,0.10613038583563594,1.3395790934261578,0.00114614,0.022081196883406706
1000000BOBUSDT,2025-06-06,e2526,105629,short,2,0.4394409937888199,0.01772795,0.4526689437888199,0.4481689437888199,29,pump_0_25,tdec_30_70,fund_pos,crowd_ge5,btc_up,0.10613038583563594,0.6329313624590428,0.00116072,0.026564499003806974
1000000BOBUSDT,2025-06-06,e2526,105629,long,2,-0.4394409937888199,-0.01772795,-0.4616689437888199,-0.4661689437888199,29,pump_0_25,tdec_30_70,fund_pos,crowd_ge5,btc_up,0.10613038583563594,0.6329313624590428,0.00116072,0.026564499003806974
1000000MOGUSDT,2024-11-08,e2324,105599,short,1,-0.36138830745266026,0.01096151,-0.35492679745266026,-0.35942679745266026,35,pump_le0,tdec_30_70,fund_flat,crowd_24,btc_up,-0.0323142870601536,0.6361434272005622,0.00041064,0.2717039400794785
1000000MOGUSDT,2024-11-08,e2324,105599,long,1,0.36138830745266026,-0.01096151,0.34592679745266025,0.34142679745266025,35,pump_le0,tdec_30_70,fund_flat,crowd_24,btc_up,-0.0323142870601536,0.6361434272005622,0.00041064,0.2717039400794785
