side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
short,1,all,pooled,659,189,87.6154876527308,-68.72628694992414,-26.110799297193328,-71.11079929719332,159.29139951561308,453.789314003945,0.6160849772382397
short,1,all,e2122,52,38,477.57115187267357,-28.156123076923087,404.4150287957504,359.41502879575046,338.54061798285346,906.1919285941433,0.6730769230769231
short,1,all,e2324,230,79,152.61719395469842,-33.291417826086956,74.32577612861145,29.325776128611423,218.89790898991862,481.489554605789,0.6260869565217392
short,1,all,e2526,377,73,-5.827713909310488,-95.94026153846153,-146.76797544777202,-191.7679754477719,229.23327814318264,314.2366946778725,0.6021220159151194
short,1,all,pre2025,282,117,212.53778193957328,-32.34448404255319,135.19329789702007,90.19329789702009,193.10801697248144,562.0162690476192,0.6347517730496454
short,1,all,post2025,377,73,-5.827713909310488,-95.94026153846153,-146.76797544777202,-191.7679754477719,235.3099244449476,314.2366946778725,0.6021220159151194
short,2,all,pooled,659,189,119.31378650367824,-54.45237389984826,19.861412603829972,-25.138587396170045,131.36326809361378,359.1615494040282,0.5918057663125948
short,2,all,e2122,52,38,375.19998900797947,-14.978061538461539,315.221927469518,270.22192746951794,298.4617080777567,659.8321530039358,0.6153846153846154
short,2,all,e2324,230,79,123.09447970235128,-21.10668869565217,56.98779100669909,11.987791006699078,187.02959570740947,395.5638413193443,0.6260869565217392
short,2,all,e2526,377,73,81.71261418028708,-80.24062811671088,-43.52801393642383,-88.52801393642379,199.59889232785616,246.78580712243243,0.5676392572944297
short,2,all,pre2025,282,117,169.58202042537494,-19.976587234042555,104.60543319133237,59.60543319133239,164.81167833296422,427.4061358339221,0.624113475177305
short,2,all,post2025,377,73,81.71261418028708,-80.24062811671088,-43.52801393642383,-88.52801393642379,191.97762328950384,246.78580712243243,0.5676392572944297
long,1,all,pooled,659,189,-87.6154876527308,68.72628694992414,-63.88920070280666,-108.88920070280669,154.03207725493394,-543.7893140039449,0.3626707132018209
long,1,all,e2122,52,38,-477.57115187267357,28.156123076923087,-494.4150287957504,-539.4150287957503,342.5009164536418,-996.1919285941434,0.3076923076923077
long,1,all,e2324,230,79,-152.61719395469842,33.291417826086956,-164.32577612861147,-209.32577612861144,218.82475640963594,-571.489554605789,0.34782608695652173
long,1,all,e2526,377,73,5.827713909310488,95.94026153846153,56.76797544777206,11.767975447772004,232.7316962338525,-404.23669467787244,0.3793103448275862
long,1,all,pre2025,282,117,-212.53778193957328,32.34448404255319,-225.19329789702007,-270.19329789702005,188.7016931553961,-652.0162690476192,0.3404255319148936
long,1,all,post2025,377,73,5.827713909310488,95.94026153846153,56.76797544777206,11.767975447772004,238.77502831869555,-404.23669467787244,0.3793103448275862
long,2,all,pooled,659,189,-119.31378650367824,54.45237389984826,-109.86141260382995,-154.86141260382996,133.33448898012614,-449.16154940402816,0.37025796661608495
long,2,all,e2122,52,38,-375.19998900797947,14.978061538461539,-405.221927469518,-450.2219274695181,300.8993601394658,-749.8321530039359,0.34615384615384615
long,2,all,e2324,230,79,-123.09447970235128,21.10668869565217,-146.9877910066991,-191.98779100669915,193.9217338964587,-485.56384131934425,0.33043478260869563
long,2,all,e2526,377,73,-81.71261418028708,80.24062811671088,-46.47198606357614,-91.4719860635762,193.25156514344002,-336.78580712243246,0.3978779840848806
long,2,all,pre2025,282,117,-169.58202042537494,19.976587234042555,-194.60543319133237,-239.60543319133237,170.17844336598318,-517.4061358339221,0.3333333333333333
long,2,all,post2025,377,73,-81.71261418028708,80.24062811671088,-46.47198606357614,-91.4719860635762,196.75940032536653,-336.78580712243246,0.3978779840848806
