symbol,d0,era,pump01,crowd7d,d0_bars,funding_events_d0_d7
0GUSDT,2025-09-18,e2526,-0.003705435838399773,6,24,111
1000000BOBUSDT,2025-06-06,e2526,0.10613038583563594,5,24,48
1000000MOGUSDT,2024-11-08,e2324,-0.0323142870601536,3,24,48
1000BONKUSDT,2023-11-23,e2324,-0.08629441624365497,3,24,48
1000BTTCUSDT,2022-01-26,e2122,-0.017711823839157592,0,21,23
1000CATUSDT,2024-10-22,e2324,0.15656565656565657,0,24,48
1000CHEEMSUSDT,2024-11-26,e2324,0.04063860667634245,3,24,48
1000FLOKIUSDT,2023-05-07,e2324,-0.1407851962990747,4,24,24
1000LUNCUSDT,2022-09-10,e2122,0.00838769804287054,2,24,24
1000PEPEUSDT,2023-05-06,e2324,-0.2501881113619262,3,24,24
1000RATSUSDT,2023-12-16,e2324,-0.23344947735191635,2,24,48
1000SATSUSDT,2023-12-13,e2324,0.37218181818181795,1,24,48
1000SHIBUSDT,2021-05-11,e2122,-0.47808238840246875,1,24,24
1000WHYUSDT,2024-11-26,e2324,-0.051401869158878455,3,24,48
1000XECUSDT,2021-09-17,e2122,-0.08674272226593227,0,21,23
1000XUSDT,2024-11-14,e2324,-0.058673469387755195,7,24,48
1MBABYDOGEUSDT,2024-09-17,e2324,0.21382671093498984,4,24,48
2ZUSDT,2025-10-03,e2526,-0.1688111513201983,11,24,48
42USDT,2025-10-28,e2526,-0.15983135300881568,5,24,48
4USDT,2025-10-09,e2526,-0.7216100649617629,4,24,48
A2ZUSDT,2025-07-31,e2526,0.08603048653163503,5,24,48
AAOIUSDT,2026-06-09,e2526,-0.14141978759083285,15,24,15
AAPLUSDT,2026-04-07,e2526,0.0012389174958380433,7,24,24
ACEUSDT,2023-12-19,e2324,-0.03678722945279356,3,24,48
ACHUSDT,2023-02-23,e2324,-0.1536767943637164,6,24,24
ACTUSDT,2024-11-12,e2324,0.3593390129916594,7,24,48
ACUUSDT,2026-01-22,e2526,1.2118545959712899,3,24,48
ACXUSDT,2024-12-07,e2324,-0.05253940455341499,3,24,48
ADBEUSDT,2026-06-12,e2526,-0.008175705094093155,24,24,24
AERGOUSDT,2024-09-11,e2324,-0.06060606060606055,4,24,48
AEROUSDT,2024-12-05,e2324,0.20581884305034648,1,24,48
AEVOUSDT,2024-03-14,e2324,-0.1486068111455109,2,24,48
AGIXUSDT,2023-02-17,e2324,0.03831891223732997,2,24,24
AGLDUSDT,2023-07-29,e2324,-0.016857142857142793,3,22,24
AGTUSDT,2025-05-21,e2526,-0.02591898780824875,1,24,48
AI16ZUSDT,2025-01-03,e2526,-0.14947271893626757,4,24,48
AIAUSDT,2025-09-19,e2526,0.16451402150969963,7,24,48
AIGENSYNUSDT,2026-04-30,e2526,-0.29968883702839366,0,24,48
AINUSDT,2025-07-11,e2526,-0.2976204227792537,5,24,48
AIOTUSDT,2025-05-01,e2526,0.5602438633081983,7,24,48
AIOUSDT,2025-08-14,e2526,-0.20610450077599585,4,24,48
AIUSDT,2024-01-09,e2324,-0.15813833701250912,0,24,48
AIXBTUSDT,2024-12-21,e2324,-0.1485749883195765,8,24,48
AKEUSDT,2025-09-27,e2526,-0.3164170483145604,6,24,48
AKTUSDT,2024-11-19,e2324,0.02081138040042152,4,24,48
ALCHUSDT,2025-01-08,e2526,-0.34901222953904043,6,24,48
ALLOUSDT,2025-11-12,e2526,-0.4766861852092822,5,24,48
ALLUSDT,2025-08-07,e2526,0.08069164265129691,4,24,24
ALPACAUSDT,2024-08-23,e2324,0.28481436804717863,6,24,48
ALPINEUSDT,2025-05-07,e2526,-0.12911596277738002,8,24,48
ALTUSDT,2024-01-26,e2324,0.254508209441634,2,24,48
AMATUSDT,2026-06-09,e2526,0.00044697277529470725,15,24,15
AMBUSDT,2023-03-31,e2324,0.018024513338139814,2,24,24
AMDUSDT,2026-05-07,e2526,0.1108062575210591,2,24,0
AMZNUSDT,2026-02-10,e2526,-0.02205952722748583,5,24,24
ANCUSDT,2022-03-08,e2122,0.05980148883374681,0,21,23
ANIMEUSDT,2025-01-24,e2526,-0.34219653179190745,6,24,48
ANTHROPICUSDT,2026-06-02,e2526,0.005775280898876467,18,20,0
ANTUSDT,2021-12-27,e2122,0.27108057464084956,1,20,23
APEUSDT,2022-03-18,e2122,0.37584994138335315,1,24,24
API3USDT,2022-02-22,e2122,0.26581520654559965,0,21,24
APRUSDT,2025-10-24,e2526,-0.40989953285979386,7,24,48
APTUSDT,2022-10-19,e2122,-0.080260032504063,0,22,24
ARBUSDT,2023-03-24,e2324,-0.0793650793650793,1,24,24
ARCUSDT,2025-01-18,e2526,0.1192557665349816,4,24,48
ARIAUSDT,2025-09-04,e2526,0.04577888981558709,6,24,48
ARKMUSDT,2023-07-28,e2324,-0.08705592683784735,2,22,24
ARKUSDT,2023-09-20,e2324,-0.09890284623946577,1,24,24
ARMUSDT,2026-05-27,e2526,0.05930521091811425,6,24,0
ARPAUSDT,2021-10-19,e2122,0.11313596639794077,0,21,23
ARUSDT,2021-09-28,e2122,-0.027453326950694024,1,21,24
ASMLUSDT,2026-06-12,e2526,-0.02636122523272144,24,24,24
ASRUSDT,2025-05-07,e2526,-0.06902173913043474,8,24,48
ASTERUSDT,2025-09-20,e2526,0.5761028996953628,7,24,48
ASTRUSDT,2023-02-14,e2324,0.24838709677419368,1,22,24
ASTSUSDT,2026-06-02,e2526,-0.006371849738468827,18,24,0
ATAUSDT,2021-08-31,e2122,-0.08445309964297298,1,21,24
ATHUSDT,2025-04-03,e2526,0.049243756595146015,5,24,48
ATUSDT,2025-10-30,e2526,-0.03528114663726578,5,24,48
AUCTIONUSDT,2023-12-16,e2324,-0.1207815275310834,2,24,48
AUDIOUSDT,2021-08-19,e2122,-0.009523809523809601,0,21,23
AUSDT,2025-05-29,e2526,-0.1932685589231804,4,24,48
AVAAIUSDT,2025-01-18,e2526,-0.16422273781902552,4,24,48
AVAUSDT,2024-12-14,e2324,-0.20532520325203252,8,24,48
AVGOUSDT,2026-04-21,e2526,0.057343534428696996,4,24,24
AVNTUSDT,2025-09-10,e2526,0.4506036548127965,6,24,48
AWEUSDT,2025-05-22,e2526,-0.05004871999291349,2,24,48
