symbol,d0,era,bucket,day_offset,n_1m_bars,rel_range_med_bp,rel_range_p75_bp,sigma_1m_bp,amihud_bp_per_kusd,zero_vol_minutes,day_turnover_kusd
10000000AIDOGEUSDT,2024-03-05,e2324,listing_d1_d7,1,1440.0,67.64592191727847,106.26287062492158,63.98339785938979,5.689855477487248,0.0,23058.894491799998
10000000AIDOGEUSDT,2024-03-05,e2324,listing_d1_d7,2,1440.0,36.862590660797174,57.400574005739216,38.204087639018084,9.723277195728123,1.0,10142.139342099998
10000000AIDOGEUSDT,2024-03-05,e2324,listing_d1_d7,3,1440.0,43.4396292120294,69.79225500267245,51.55854277161392,4.912187866575909,0.0,18349.5623416
10000000AIDOGEUSDT,2024-03-05,e2324,listing_d1_d7,4,1440.0,63.9829220758143,104.74350488047075,61.21427826615135,1.6245051642935975,0.0,66613.0255559
10000000AIDOGEUSDT,2024-03-05,e2324,listing_d1_d7,5,1440.0,60.79427014353265,93.44582076840865,60.51426835795364,1.2726342152279742,0.0,62684.9172866
10000000AIDOGEUSDT,2024-03-05,e2324,listing_d1_d7,6,1440.0,40.64839914725551,67.77042752066875,43.6599735972649,2.3103487157481988,0.0,27606.8679172
10000000AIDOGEUSDT,2024-03-05,e2324,listing_d1_d7,7,1440.0,33.932813186485824,52.28569760583364,32.929811890618595,3.7818688746649074,0.0,18201.2449784
10000000AIDOGEUSDT,2024-03-05,e2324,mature_d60_d66,60,1440.0,14.484017581516788,22.916070119683,17.450534470759486,14.075229522190906,6.0,2965.645439
10000000AIDOGEUSDT,2024-03-05,e2324,mature_d60_d66,61,1440.0,14.182720916706495,21.398002853065766,14.242432256332986,12.96590133599705,8.0,2424.0347693999997
10000000AIDOGEUSDT,2024-03-05,e2324,mature_d60_d66,62,1440.0,17.010944642766177,24.878435874923888,18.714056218050153,47.62012996455628,16.0,2526.6505257
10000000AIDOGEUSDT,2024-03-05,e2324,mature_d60_d66,63,1440.0,12.461060931466358,21.434951106238152,15.443688618068771,57.17872637575223,49.0,2105.1415894999996
10000000AIDOGEUSDT,2024-03-05,e2324,mature_d60_d66,64,1440.0,10.580612695979834,18.335407216454684,13.759738772163315,50.764071913740864,47.0,1429.8861051000001
10000000AIDOGEUSDT,2024-03-05,e2324,mature_d60_d66,65,1440.0,10.28938923773527,15.82278811303631,12.889747707378458,53.7578640070162,58.0,1379.5371156
10000000AIDOGEUSDT,2024-03-05,e2324,mature_d60_d66,66,1440.0,10.172939979654368,18.5160702749134,15.882677266402917,81.68870095836691,74.0,2489.1467609
1000000CHEEMSUSDT,2024-11-25,e2324,listing_d1_d7,1,1440.0,37.00199007070954,71.96122780644036,49.62265925875288,9.686362450988252,5.0,14838.120160899998
1000000CHEEMSUSDT,2024-11-25,e2324,listing_d1_d7,2,1440.0,29.188858250486113,51.276583459530684,35.96836694354278,8.649114539746677,4.0,11458.116816799999
1000000CHEEMSUSDT,2024-11-25,e2324,listing_d1_d7,3,1440.0,13.380338678148433,24.453200647830922,21.973706412195867,37.26296426511865,59.0,4431.514892300001
1000000CHEEMSUSDT,2024-11-25,e2324,listing_d1_d7,4,1440.0,13.241138374690646,23.444941398920854,22.287200932036306,35.20256187499168,98.0,4116.244372599999
1000000CHEEMSUSDT,2024-11-25,e2324,listing_d1_d7,5,1440.0,11.546518064859898,20.36512037312216,18.17880097945971,64.52223538479574,189.0,2659.3215617
1000000CHEEMSUSDT,2024-11-25,e2324,listing_d1_d7,6,1440.0,10.20309376362073,19.138074102620717,16.448268389089336,51.160886209537885,236.0,1839.2735598
1000000CHEEMSUSDT,2024-11-25,e2324,listing_d1_d7,7,1440.0,12.558436543042085,22.343612188545436,19.931884243638418,50.59821310961929,139.0,2998.8975425
1000000CHEEMSUSDT,2024-11-25,e2324,mature_d60_d66,60,1440.0,16.223638864593205,25.832889085964617,19.776906876953852,18.779813635604388,20.0,3692.8062066
1000000CHEEMSUSDT,2024-11-25,e2324,mature_d60_d66,61,1440.0,15.673115623308881,25.14305083518049,23.87119898106458,26.737090690102473,20.0,3644.1516002
1000000CHEEMSUSDT,2024-11-25,e2324,mature_d60_d66,62,1440.0,14.112704375813616,22.679120349450198,15.600302542319845,39.963527138216364,22.0,2026.3293545
1000000CHEEMSUSDT,2024-11-25,e2324,mature_d60_d66,63,1440.0,21.059151520866088,33.33104197970982,25.919829980653066,21.442595263948764,4.0,4610.4975317
1000000CHEEMSUSDT,2024-11-25,e2324,mature_d60_d66,64,1440.0,13.507742653741236,21.42827798748464,17.114794678080457,49.20898405324169,23.0,1697.5527684999997
1000000CHEEMSUSDT,2024-11-25,e2324,mature_d60_d66,65,1440.0,13.656116109029087,23.30932320202688,17.69464289224917,59.09842802906139,23.0,1980.7313773
