symbol,d0,era,pump01,crowd7d,d0_bars,funding_events_d0_d7
0GUSDT,2025-09-18,e2526,0.12203999999999993,7,17,109
10000000AIDOGEUSDT,2024-03-05,e2324,0.04132059800664467,2,14,24
1000000BABYDOGEUSDT,2024-06-11,e2324,0.06691733740673289,5,11,23
1000000CHEEMSUSDT,2024-11-25,e2324,-0.1646285338593031,8,13,23
1000000MOGUSDT,2024-05-16,e2324,0.11546943919344654,5,8,22
1000000PEIPEIUSDT,2024-07-04,e2324,0.04518236254763197,0,14,23
1000000VINUUSDT,2023-11-28,e2324,0.5106479796141246,7,14,23
10000COQUSDT,2024-03-12,e2324,0.09862081995087846,2,14,23
10000ELONUSDT,2025-02-10,e2526,-0.08979413053000429,4,15,46
10000LADYSUSDT,2023-05-11,e2324,-0.5576441102756893,1,11,23
10000NEXUSDT,2026-05-21,e2526,-0.19521246984598262,6,16,46
10000NFTUSDT,2022-01-24,e2122,0.0969101123595506,3,12,22
10000QUBICUSDT,2024-12-24,e2324,0.04724940938238276,7,14,23
10000SATSUSDT,2023-11-16,e2324,-0.02466960352422909,3,11,23
10000STARLUSDT,2023-10-20,e2324,0.5201143108375468,1,15,23
10000WENUSDT,2024-01-31,e2324,-0.22570493454179252,3,13,23
10000WHYUSDT,2024-10-04,e2324,-0.031751961150541685,3,14,23
1000APUUSDT,2024-06-20,e2324,-0.19238358326756122,3,13,23
1000BEERUSDT,2024-05-31,e2324,-0.06102789687621801,6,14,23
1000BONKUSDT,2023-01-06,e2324,-0.003892944038929369,0,15,23
1000BTTUSDT,2022-02-25,e2122,0.04756697648988517,5,14,22
1000CATSUSDT,2024-10-11,e2324,0.44897959183673475,3,15,23
1000CATUSDT,2024-09-13,e2324,0.0508315029808597,3,13,23
1000FLOKIUSDT,2023-02-24,e2324,-0.004331683168316891,3,13,23
1000IQ50USDT,2024-03-19,e2324,0.6142000000000001,7,12,23
1000LUNCUSDT,2022-09-09,e2122,-0.16193784983593906,0,15,24
1000MUMUUSDT,2024-09-23,e2324,0.34782608695652173,1,14,23
1000NEIROCTOUSDT,2024-09-16,e2324,0.9942380635260732,4,13,23
1000PEPEUSDT,2023-05-03,e2324,1.1236028214867066,1,13,23
1000RATSUSDT,2023-11-22,e2324,0.041226959335866065,5,15,23
1000TAGUSDT,2025-07-28,e2526,0.02629370629370631,4,15,46
1000TOSHIUSDT,2024-12-05,e2324,0.10192372595342558,5,15,23
1000TURBOUSDT,2024-02-29,e2324,0.5525372571212976,0,11,23
1000XECUSDT,2022-04-13,e2122,-0.0005431240495330503,6,14,22
1000XUSDT,2024-10-25,e2324,-0.20233406272793586,3,15,23
1CATUSDT,2023-12-27,e2324,-0.07468879668049788,2,10,23
1INCHUSDT,2021-12-06,e2122,0.056312981624184966,14,15,22
2ZUSDT,2025-10-02,e2526,0.04240848169633926,12,11,45
4USDT,2025-10-08,e2526,-0.3916349809885932,4,12,45
A2ZUSDT,2025-07-31,e2526,-0.10157194679564696,6,15,46
A8USDT,2024-07-22,e2324,-0.08981233243967834,5,12,23
AAOIUSDT,2026-06-09,e2526,-0.17637311759832353,15,15,23
AAPLUSDT,2026-04-28,e2526,0.01297390263964715,9,15,23
AAVEUSDT,2021-05-13,e2122,0.06206527554842145,1,15,22
ACEUSDT,2023-12-18,e2324,0.00015019525382986565,4,15,23
ACHUSDT,2022-04-08,e2122,-0.004326800712649459,5,13,22
ACTUSDT,2024-11-11,e2324,0.7024969549330085,3,15,23
ACUUSDT,2026-01-23,e2526,0.006878622109083077,6,16,46
ACXUSDT,2024-12-06,e2324,-0.318725921849202,6,14,23
ADBEUSDT,2026-06-29,e2526,0.01354424122590192,18,16,23
AERGOUSDT,2023-11-16,e2324,-0.07774227902023434,3,11,23
AEROUSDT,2024-07-15,e2324,0.048465266558966213,2,15,23
AEVOUSDT,2024-03-13,e2324,-0.012668507389962724,4,12,23
AGIUSDT,2023-11-17,e2324,0.09104367135455216,4,14,23
AGIXUSDT,2023-02-09,e2324,0.006854792642522645,2,12,23
AGLDUSDT,2022-04-22,e2122,-0.05589806822852428,4,16,22
AGTUSDT,2025-05-28,e2526,-0.06548616326766432,6,18,47
