threshold,sign,persistence,era,n_trades,mean_gross_alt_bp,mean_alt_funding_bp,mean_gross_btc_bp,mean_btc_funding_bp,mean_net_unhedged_bp,mean_net_hedged_bp,mean_hold_h,n_weeks,capped_share,se_net_hedged_bp_wk,se_net_unhedged_bp_wk,median_net_hedged_bp,win_rate_hedged
0.0015,1,1,pooled,10457,20.318224311387663,12.416652653724775,-7.781753745253693,-1.508661078703261,-12.265123034887562,-66.5555378588445,6.7296547767046,248,0.0,8.162655222060744,10.07888421791771,-65.57943131478467,0.37113894998565555
0.0015,1,1,e2122,1517,9.567312306856843,12.3521370468029,-17.119897975479496,-2.582160711931444,-23.080550646340257,-87.7826093337512,7.29004614370468,72,0.0,13.501013266278665,17.74761256418108,-80.44821591887812,0.24653922214897825
0.0015,1,1,e2324,2115,76.02185375209216,21.276023782505913,-25.841677983151563,-5.040204302600473,52.29787753459806,-23.58400475115398,11.891725768321512,98,0.0,20.596872201712195,28.06594604826917,-15.357157984711616,0.47706855791962177
0.0015,1,1,e2526,6825,5.445837094359565,9.685561113553115,-0.10956260087178082,-0.17566285714285718,-29.868601792087322,-75.15382725010195,5.005421245421245,78,0.0,9.695912764362813,9.532282008439187,-68.20630276054126,0.366007326007326
0.0015,1,1,pre2025,3632,48.26537264735042,17.548728579295155,-22.198797952414083,-4.013537968061674,20.81410122664557,-50.39823469383019,9.969713656387665,170,0.0,14.02435933006385,19.610580120176614,-58.16145457128137,0.38078193832599116
0.0015,1,1,post2025,6825,5.445837094359565,9.685561113553115,-0.10956260087178082,-0.17566285714285718,-29.868601792087322,-75.15382725010195,5.005421245421245,78,0.0,9.261422684647792,9.4353222497592,-68.20630276054126,0.366007326007326
0.0015,1,2,pooled,3517,28.805215971967396,20.254180665339778,-11.155361508804136,-2.123239579186807,4.05939663730719,-54.219204450683755,8.286892237702588,196,0.0,19.365345460788152,21.831387662449405,-59.46617290411311,0.40176286607904466
0.0015,1,2,e2122,625,30.313218336792254,19.382571839999997,-25.678577617050717,-4.15239968,4.695790176792254,-70.13518712025845,9.5888,60,0.0,25.193174446644477,34.018999354504395,-79.07403493227598,0.2848
0.0015,1,2,e2324,709,105.95783700493428,31.298431452750354,-30.747283669677884,-6.212524682651622,92.25626845768464,10.296460105355127,14.176304654442877,67,0.0,44.86042578204373,57.117598793689176,36.69203716532338,0.5289139633286318
0.0015,1,2,e2526,2183,3.315655829782775,16.916746724690793,-0.6342058149362474,-0.21415657352267523,-24.767597445526423,-70.61595983398534,6.001374255611544,69,0.0,23.12693006436265,22.78170973942943,-61.80147481548204,0.39395327530920754
0.0015,1,2,pre2025,1334,70.51714235156939,25.71566364317841,-28.37251509179784,-5.247323688155922,51.2328059947478,-27.387032785205953,12.026986506746626,127,0.0,28.32860628641768,37.90490667923645,-52.05715269925932,0.41454272863568215
0.0015,1,2,post2025,2183,3.315655829782775,16.916746724690793,-0.6342058149362474,-0.21415657352267523,-24.767597445526423,-70.61595983398534,6.001374255611544,69,0.0,23.192224574679635,23.838721285951245,-61.80147481548204,0.39395327530920754
0.0015,-1,1,pooled,34661,-27.255559142782804,48.777239938259136,0.53126597433149,0.31539365857880614,-23.478319204523665,-67.63165957161335,7.737139724762701,251,0.00011540347941490436,8.359682609529367,9.25918254441401,-107.24717086730686,0.2518103920833213
0.0015,-1,1,e2122,3514,-17.528885756235045,38.51226829823563,5.3230829012432,0.07471789982925442,-24.01661745799942,-63.61881665692695,8.99203187250996,67,0.0,12.24573364689599,13.691252095175514,-95.11231095287005,0.2458736482640865
0.0015,-1,1,e2324,2866,18.824793055118434,76.02727173761342,-23.296191377313985,1.4221688415910678,49.85206479273184,-17.021957742991066,16.341242149337056,105,0.0006978367062107466,24.073199352256523,24.220296782775065,-129.46675394026107,0.32554082344731333
0.0015,-1,1,e2526,28281,-33.13391633239823,47.291172232240726,2.3505456351867697,0.23313761889607862,-30.842744100157496,-73.25906084607465,6.709274778119585,80,0.00007071885718326793,9.853741998577126,10.595459531641369,-108.46190115921219,0.24507619956861498
0.0015,-1,1,pre2025,6380,-1.1982206350220215,55.36461937304076,-7.533161625770107,0.6800148275862069,9.16639873801873,-42.68674806016516,12.293416927899687,172,0.00031347962382445143,13.445128081498863,14.009480345106423,-102.05682354105822,0.2816614420062696
