symbol,sign,threshold,start,era,age_cell,n_settlements,duration_h,peak_rate8h,sum_rate_raw,resolved
0GUSDT,-1,0.0015,2025-09-22,e2526,age_lt30,32,30.99999861111111,-0.08841784,-0.08966426,true
0GUSDT,-1,0.0015,2025-09-23,e2526,age_lt30,28,27.000001666666666,-0.01454968,-0.0235341,true
0GUSDT,-1,0.0015,2025-09-25,e2526,age_lt30,45,44.0,-0.02168272,-0.031894399999999996,true
0GUSDT,-1,0.0015,2025-09-27,e2526,age_lt30,5,3.9999997222222223,-0.0033576,-0.00142838,true
0GUSDT,-1,0.0015,2025-09-27,e2526,age_lt30,5,4.000000277777778,-0.00280864,-0.00128714,true
0GUSDT,-1,0.0015,2025-09-28,e2526,age_lt30,1,0.0,-0.00151984,-0.00018998,true
0GUSDT,-1,0.0015,2025-09-28,e2526,age_lt30,1,0.0,-0.00158912,-0.00019864,true
0GUSDT,-1,0.0015,2025-09-28,e2526,age_lt30,1,0.0,-0.00152056,-0.00019007,true
0GUSDT,-1,0.0015,2025-09-28,e2526,age_lt30,2,1.0000011111111111,-0.00250672,-0.00052127,true
0GUSDT,-1,0.0015,2025-09-29,e2526,age_lt30,2,1.0000005555555556,-0.00193792,-0.00046688000000000003,true
0GUSDT,-1,0.0015,2025-09-29,e2526,age_lt30,59,58.0,-0.03940504,-0.04904117,true
0GUSDT,-1,0.0015,2025-10-02,e2526,age_lt30,5,4.000003333333333,-0.0021012,-0.0011933199999999999,true
0GUSDT,-1,0.0015,2025-10-02,e2526,age_lt30,4,3.0,-0.00195672,-0.00089797,true
0GUSDT,-1,0.0015,2025-10-03,e2526,age_lt30,1,0.0,-0.0015212,-0.00019015,true
0GUSDT,-1,0.0015,2025-10-03,e2526,age_lt30,10,8.999999166666667,-0.00921872,-0.00486276,true
0GUSDT,-1,0.0015,2025-10-03,e2526,age_lt30,3,1.9999983333333333,-0.00315856,-0.00096609,true
0GUSDT,-1,0.0015,2025-10-03,e2526,age_lt30,3,2.0000005555555553,-0.00279472,-0.00077177,true
0GUSDT,-1,0.0015,2025-10-04,e2526,age_lt30,1,0.0,-0.00186104,-0.00023263,true
0GUSDT,-1,0.0015,2025-10-04,e2526,age_lt30,73,72.00000083333333,-0.01499808,-0.03191564,true
0GUSDT,-1,0.0015,2025-10-07,e2526,age_lt30,1,0.0,-0.00196224,-0.00024528,true
0GUSDT,-1,0.0015,2025-10-10,e2526,age_lt30,1,0.0,-0.00152864,-0.00019108,true
0GUSDT,-1,0.0015,2025-10-10,e2526,age_lt30,3,1.9999977777777778,-0.00880464,-0.00254636,true
0GUSDT,-1,0.0015,2025-10-11,e2526,age_lt30,1,0.0,-0.00291744,-0.00036468,true
0GUSDT,-1,0.0015,2025-10-12,e2526,age_lt30,2,0.9999977777777778,-0.00260408,-0.00061252,true
0GUSDT,-1,0.0015,2025-10-12,e2526,age_lt30,2,1.0,-0.00228712,-0.00052439,true
0GUSDT,-1,0.0015,2025-10-13,e2526,age_lt30,6,5.0,-0.0039304,-0.00218548,true
0GUSDT,-1,0.0015,2025-10-14,e2526,age_lt30,4,3.0000005555555553,-0.00309216,-0.00112628,true
0GUSDT,-1,0.0015,2025-10-14,e2526,age_lt30,2,1.0000011111111111,-0.00207304,-0.00047712,true
0GUSDT,-1,0.0015,2025-10-15,e2526,age_lt30,1,0.0,-0.00154376,-0.00019297,true
0GUSDT,-1,0.0015,2025-10-19,e2526,age_30_240,2,0.9999997222222222,-0.00175296,-0.00040804000000000003,true
0GUSDT,-1,0.0015,2025-10-20,e2526,age_30_240,2,1.0000016666666667,-0.00178232,-0.00041257,true
0GUSDT,-1,0.0015,2025-10-21,e2526,age_30_240,92,90.9999975,-0.02590496,-0.07597922,true
0GUSDT,-1,0.0015,2025-10-24,e2526,age_30_240,3,2.0,-0.00192264,-0.00068583,true
0GUSDT,-1,0.0015,2025-10-25,e2526,age_30_240,1,0.0,-0.00160976,-0.00020122,true
0GUSDT,-1,0.0015,2025-10-25,e2526,age_30_240,6,4.999998611111111,-0.00306448,-0.00171631,true
0GUSDT,-1,0.0015,2025-10-25,e2526,age_30_240,3,2.0,-0.00349848,-0.00107494,true
0GUSDT,-1,0.0015,2025-10-25,e2526,age_30_240,1,0.0,-0.00193688,-0.00024211,true
0GUSDT,-1,0.0015,2025-10-25,e2526,age_30_240,2,0.9999997222222222,-0.0017212,-0.00042893,true
0GUSDT,-1,0.0015,2025-10-26,e2526,age_30_240,4,2.9999994444444447,-0.00231576,-0.0009645599999999999,true
0GUSDT,-1,0.0015,2025-10-27,e2526,age_30_240,4,2.9999997222222223,-0.00260728,-0.00108683,true
0GUSDT,-1,0.0015,2025-10-27,e2526,age_30_240,3,2.0000005555555553,-0.00306016,-0.00100466,true
0GUSDT,-1,0.0015,2025-10-27,e2526,age_30_240,21,20.000000833333335,-0.00737992,-0.00956197,true
0GUSDT,-1,0.0015,2025-10-28,e2526,age_30_240,6,4.999999166666667,-0.0037368,-0.00208334,true
0GUSDT,-1,0.0015,2025-10-29,e2526,age_30_240,1,0.0,-0.00212856,-0.00026607,true
0GUSDT,-1,0.0015,2025-10-29,e2526,age_30_240,3,2.0000019444444446,-0.00205336,-0.00065507,true
0GUSDT,-1,0.0015,2025-10-30,e2526,age_30_240,4,2.9999997222222223,-0.00213888,-0.00097247,true
0GUSDT,-1,0.0015,2025-10-30,e2526,age_30_240,1,0.0,-0.0020952,-0.0002619,true
0GUSDT,-1,0.0015,2025-10-30,e2526,age_30_240,3,1.9999991666666668,-0.00232568,-0.0007481300000000001,true
0GUSDT,-1,0.0015,2025-10-30,e2526,age_30_240,10,8.999999722222222,-0.00302944,-0.00295476,true
0GUSDT,-1,0.0015,2025-10-31,e2526,age_30_240,1,0.0,-0.00180256,-0.00022532,true
0GUSDT,-1,0.0015,2025-10-31,e2526,age_30_240,5,4.0000025,-0.00281312,-0.00120483,true
0GUSDT,-1,0.0015,2025-10-31,e2526,age_30_240,3,1.9999997222222223,-0.0025484,-0.0008218,true
0GUSDT,-1,0.0015,2025-10-31,e2526,age_30_240,1,0.0,-0.00152416,-0.00019052,true
0GUSDT,-1,0.0015,2025-11-01,e2526,age_30_240,2,1.0,-0.00199392,-0.00043675,true
0GUSDT,-1,0.0015,2025-11-01,e2526,age_30_240,1,0.0,-0.00168384,-0.00021048,true
0GUSDT,-1,0.0015,2025-11-01,e2526,age_30_240,1,0.0,-0.00189224,-0.00023653,true
0GUSDT,-1,0.0015,2025-11-01,e2526,age_30_240,5,3.999998611111111,-0.00254976,-0.00130022,true
0GUSDT,-1,0.0015,2025-11-02,e2526,age_30_240,5,3.9999997222222223,-0.00277696,-0.00139645,true
0GUSDT,-1,0.0015,2025-11-03,e2526,age_30_240,273,272.00000083333333,-0.106944,-0.53382599,true
0GUSDT,-1,0.0015,2025-11-14,e2526,age_30_240,2,1.0000019444444443,-0.00224192,-0.00049871,true
0GUSDT,-1,0.0015,2025-11-15,e2526,age_30_240,1,0.0,-0.00195808,-0.00024476,true
0GUSDT,-1,0.0015,2025-11-15,e2526,age_30_240,4,2.9999997222222223,-0.00450592,-0.00144056,true
0GUSDT,-1,0.0015,2025-11-16,e2526,age_30_240,51,50.00000027777778,-0.01419344,-0.02836731,true
0GUSDT,-1,0.0015,2025-11-21,e2526,age_30_240,1,0.0,-0.00201144,-0.00025143,true
0GUSDT,-1,0.0015,2025-11-21,e2526,age_30_240,1,0.0,-0.00214432,-0.00026804,true
0GUSDT,-1,0.0015,2025-11-22,e2526,age_30_240,22,21.0,-0.02032928,-0.02383828,true
0GUSDT,-1,0.0015,2025-11-23,e2526,age_30_240,74,73.0,-0.02074408,-0.04877696,true
0GUSDT,-1,0.0015,2025-11-26,e2526,age_30_240,1,0.0,-0.0016672,-0.0002084,true
0GUSDT,-1,0.0015,2025-11-26,e2526,age_30_240,2,1.0000005555555556,-0.0020128,-0.00044275,true
0GUSDT,-1,0.0015,2025-11-27,e2526,age_30_240,1,0.0,-0.00157128,-0.00019641,true
0GUSDT,-1,0.0015,2025-11-27,e2526,age_30_240,1,0.0,-0.00165592,-0.00020699,true
0GUSDT,-1,0.0015,2025-11-27,e2526,age_30_240,1,0.0,-0.00159568,-0.00019946,true
0GUSDT,-1,0.0015,2025-11-28,e2526,age_30_240,2,0.9999983333333333,-0.00158448,-0.00038944,true
0GUSDT,-1,0.0015,2025-11-30,e2526,age_30_240,1,0.0,-0.00160128,-0.00020016,true
0GUSDT,-1,0.0015,2025-12-01,e2526,age_30_240,4,2.9999966666666666,-0.00201592,-0.00086018,true
0GUSDT,-1,0.0015,2025-12-05,e2526,age_30_240,2,4.0,-0.0018947,-0.00178133,true
0GUSDT,-1,0.0015,2025-12-06,e2526,age_30_240,5,15.999999722222222,-0.00253582,-0.00550694,true
0GUSDT,-1,0.0015,2025-12-07,e2526,age_30_240,6,19.99999888888889,-0.0035512,-0.00863226,true
0GUSDT,-1,0.0015,2025-12-08,e2526,age_30_240,5,16.000000833333335,-0.00244698,-0.00533964,true
0GUSDT,-1,0.0015,2025-12-09,e2526,age_30_240,9,31.999998333333334,-0.00379244,-0.01019284,true
0GUSDT,-1,0.0015,2025-12-11,e2526,age_30_240,6,20.000001944444445,-0.00319,-0.00693099,true
0GUSDT,-1,0.0015,2025-12-12,e2526,age_30_240,2,3.9999991666666666,-0.00276716,-0.0022695,true
0GUSDT,-1,0.0015,2025-12-14,e2526,age_30_240,4,12.0,-0.0032285,-0.00456343,true
0GUSDT,-1,0.0015,2025-12-15,e2526,age_30_240,1,0.0,-0.00182182,-0.00091091,true
0GUSDT,-1,0.0015,2025-12-15,e2526,age_30_240,1,0.0,-0.002402,-0.001201,true
0GUSDT,-1,0.0015,2025-12-18,e2526,age_30_240,1,0.0,-0.00166712,-0.00083356,true
0GUSDT,-1,0.0015,2025-12-20,e2526,age_30_240,1,0.0,-0.00156794,-0.00078397,true
0GUSDT,-1,0.0015,2025-12-20,e2526,age_30_240,2,4.000001944444445,-0.00216076,-0.00188842,true
0GUSDT,-1,0.0015,2025-12-21,e2526,age_30_240,16,60.00000027777778,-0.00761454,-0.02801025,true
