threshold,sign,era,age_cell,n_episodes,med_settlements,med_duration_h,med_peak_rate8h_bp,n_symbols
0.0015,-1,e2122,age_30_240,307,1.0,0.0,33.5706,96
0.0015,-1,e2122,age_ge240,743,1.0,0.0,25.6521,123
0.0015,-1,e2122,age_lt30,88,1.0,0.0,32.642399999999995,32
0.0015,-1,e2324,age_30_240,566,1.0,0.0,25.730099999999997,101
0.0015,-1,e2324,age_ge240,976,1.0,0.0,27.9786,156
0.0015,-1,e2324,age_lt30,370,1.0,0.0,27.203000000000003,109
0.0015,-1,e2526,age_30_240,4793,1.0,0.0,26.296599999999998,325
0.0015,-1,e2526,age_ge240,7063,1.0,0.0,26.5504,386
0.0015,-1,e2526,age_lt30,1781,2.0,0.9999997222222222,29.863200000000003,263
0.0015,1,e2122,age_30_240,70,1.0,0.0,18.21115,47
0.0015,1,e2122,age_ge240,60,1.0,0.0,17.60935,39
0.0015,1,e2122,age_lt30,22,1.0,0.0,22.1979,10
0.0015,1,e2324,age_30_240,547,1.0,0.0,17.8722,81
0.0015,1,e2324,age_ge240,281,1.0,0.0,17.5412,87
0.0015,1,e2324,age_lt30,376,1.0,0.0,19.0675,63
0.0015,1,e2526,age_30_240,2791,1.0,0.0,21.114800000000002,177
0.0015,1,e2526,age_ge240,1586,1.0,0.0,21.205900000000003,120
0.0015,1,e2526,age_lt30,850,1.0,0.0,22.465000000000003,173
0.003,-1,e2122,age_30_240,176,1.0,0.0,75.0,81
0.003,-1,e2122,age_ge240,354,1.0,0.0,54.7978,107
0.003,-1,e2122,age_lt30,52,1.0,0.0,52.971849999999996,27
0.003,-1,e2324,age_30_240,246,1.0,0.0,52.076,65
0.003,-1,e2324,age_ge240,513,1.0,0.0,55.8758,124
0.003,-1,e2324,age_lt30,213,1.0,0.0,56.6442,75
0.003,-1,e2526,age_30_240,2689,1.0,0.0,53.7896,268
0.003,-1,e2526,age_ge240,4114,1.0,0.0,52.0877,338
0.003,-1,e2526,age_lt30,1089,2.0,1.9999986111111112,59.254,214
0.003,1,e2122,age_30_240,2,1.0,0.0,47.5093,2
0.003,1,e2122,age_ge240,7,1.0,0.0,40.633700000000005,6
0.003,1,e2122,age_lt30,8,1.0,0.0,42.45385,3
0.003,1,e2324,age_30_240,50,1.0,0.0,37.1289,10
0.003,1,e2324,age_ge240,40,1.0,0.0,36.778800000000004,11
0.003,1,e2324,age_lt30,53,1.0,0.0,38.2224,18
0.003,1,e2526,age_30_240,843,1.0,0.0,43.730399999999996,117
0.003,1,e2526,age_ge240,423,1.0,0.0,39.656400000000005,71
0.003,1,e2526,age_lt30,284,1.0,0.0,44.91439999999999,91
0.005,-1,e2122,age_30_240,119,1.0,0.0,75.0,73
0.005,-1,e2122,age_ge240,206,1.0,0.0,75.0,78
0.005,-1,e2122,age_lt30,33,1.0,0.0,75.0,16
0.005,-1,e2324,age_30_240,139,1.0,0.0,86.2356,50
0.005,-1,e2324,age_ge240,345,1.0,0.0,93.3867,101
0.005,-1,e2324,age_lt30,144,1.0,0.0,93.5492,60
0.005,-1,e2526,age_30_240,1813,1.0,0.0,88.72319999999999,234
0.005,-1,e2526,age_ge240,2670,1.0,0.0,87.8111,297
0.005,-1,e2526,age_lt30,772,2.0,1.0,94.316,186
0.005,1,e2122,age_30_240,1,1.0,0.0,58.883199999999995,1
0.005,1,e2122,age_ge240,1,1.0,0.0,69.2908,1
0.005,1,e2122,age_lt30,3,1.0,0.0,53.3357,2
0.005,1,e2324,age_30_240,6,1.0,0.0,52.8203,5
0.005,1,e2324,age_ge240,10,1.0,0.0,62.7796,7
0.005,1,e2324,age_lt30,12,1.0,0.0,75.0863,9
0.005,1,e2526,age_30_240,370,1.0,0.0,73.2119,66
0.005,1,e2526,age_ge240,154,1.0,0.0,69.4628,47
0.005,1,e2526,age_lt30,133,1.0,0.0,68.8494,48
