symbol,sign,threshold,persistence,entry,era,age_cell,week_block,hold_h,n_alt_settlements_hold,gross_alt,alt_funding,gross_btc,btc_funding,net_unhedged,net_hedged,capped
0GUSDT,-1,0.0015,1,2025-09-22,e2526,age_lt30,105645,32.0,31,0.04868583524431114,0.05901015,0.00661773254137088,0.00026461,0.10319598524431113,0.10557832778568202,false
0GUSDT,-1,0.0015,2,2025-09-22,e2526,age_lt30,105645,31.0,31,0.0479464128327165,0.05901015,0.01017534272255638,0.00026461,0.1024565628327165,0.10839651555527288,false
0GUSDT,-1,0.0015,1,2025-09-24,e2526,age_lt30,105645,28.0,29,-0.2525797578794302,0.02360064,-0.004812991862220617,0.00016727,-0.2334791178794302,-0.24262483974165083,false
0GUSDT,-1,0.0015,2,2025-09-24,e2526,age_lt30,105645,27.0,28,-0.2323664891319993,0.02204134,-0.002769776893446041,0.00010933,-0.21482514913199932,-0.22198559602544538,false
0GUSDT,-1,0.0015,1,2025-09-25,e2526,age_lt30,105645,45.0,45,-0.13569517133587505,0.0317189,0.020593762955043782,0.00026499,-0.10847627133587506,-0.09211751838083126,false
0GUSDT,-1,0.0015,2,2025-09-25,e2526,age_lt30,105645,44.0,44,-0.13912017926642284,0.03125318,0.02064725347926044,0.00026499,-0.11236699926642285,-0.0959547557871624,false
0GUSDT,-1,0.0015,1,2025-09-27,e2526,age_lt30,105645,5.0,6,0.015449438202247201,0.00149865,-0.0006626044013771093,0.00007821,0.012448088202247201,0.007363693800870092,false
0GUSDT,-1,0.0015,2,2025-09-27,e2526,age_lt30,105645,4.0,5,-0.013395343656009917,0.00107895,0.00015545671353534019,0.00007821,-0.016816393656009915,-0.021082726942474574,false
0GUSDT,-1,0.0015,1,2025-09-27,e2526,age_lt30,105645,5.0,6,0.016372830394970617,0.00133267,-0.0017744955349634495,0.00003314,0.013205500394970617,0.00696414486000717,false
0GUSDT,-1,0.0015,2,2025-09-27,e2526,age_lt30,105645,4.0,5,0.0267852211851769,0.00098159,-0.001901813397360952,0.00003314,0.0232668111851769,0.016898137787815952,false
0GUSDT,-1,0.0015,1,2025-09-28,e2526,age_lt30,105646,1.0,2,0.032472116334886225,0.00025105,-0.0008526553076877441,0.0,0.028223166334886227,0.022870511027198483,false
