symbol,sign,threshold,start,era,age_cell,n_settlements,duration_h,peak_rate8h,sum_rate_raw,resolved
0GUSDT,-1,0.0015,2025-09-22,e2526,age_lt30,10,10.0,-0.08,-0.05013085,true
0GUSDT,-1,0.0015,2025-09-23,e2526,age_lt30,9,8.0,-0.08,-0.03067871,true
0GUSDT,-1,0.0015,2025-09-23,e2526,age_lt30,3,2.0,-0.01905016,-0.0041860000000000005,true
0GUSDT,-1,0.0015,2025-09-23,e2526,age_lt30,1,0.0,-0.00508192,-0.00063524,true
0GUSDT,-1,0.0015,2025-09-23,e2526,age_lt30,1,0.0,-0.00398088,-0.00049761,true
0GUSDT,-1,0.0015,2025-09-23,e2526,age_lt30,9,8.0,-0.05420328,-0.02216589,true
0GUSDT,-1,0.0015,2025-09-24,e2526,age_lt30,7,6.0,-0.02063464,-0.010011869999999999,true
0GUSDT,-1,0.0015,2025-09-24,e2526,age_lt30,3,2.0,-0.00557688,-0.0012309,true
0GUSDT,-1,0.0015,2025-09-24,e2526,age_lt30,2,1.0,-0.00215336,-0.00049852,true
0GUSDT,-1,0.0015,2025-09-25,e2526,age_lt30,8,7.0,-0.01033016,-0.00609593,true
0GUSDT,-1,0.0015,2025-09-25,e2526,age_lt30,6,5.0,-0.02615568,-0.0073097200000000005,true
0GUSDT,-1,0.0015,2025-09-25,e2526,age_lt30,6,5.0,-0.08,-0.01989136,true
0GUSDT,-1,0.0015,2025-09-26,e2526,age_lt30,3,2.0,-0.01109976,-0.00220917,true
0GUSDT,-1,0.0015,2025-09-26,e2526,age_lt30,3,2.0,-0.00645696,-0.00156751,true
0GUSDT,-1,0.0015,2025-09-27,e2526,age_lt30,1,0.0,-0.0022804,-0.00028505,true
0GUSDT,-1,0.0015,2025-09-28,e2526,age_lt30,2,1.0,-0.00316784,-0.0007768499999999999,true
0GUSDT,-1,0.0015,2025-09-28,e2526,age_lt30,2,1.0,-0.00374952,-0.00071298,true
0GUSDT,-1,0.0015,2025-09-28,e2526,age_lt30,2,1.0,-0.0053436,-0.0008853600000000001,true
