threshold,sign,era,age_cell,n_episodes,med_settlements,med_duration_h,med_peak_rate8h_bp,n_symbols
0.0015,-1,e2122,age_30_240,2326,1.0,0.0,31.989799999999995,130
0.0015,-1,e2122,age_censored,4,2.0,8.0,37.5,4
0.0015,-1,e2122,age_ge240,1003,1.0,0.0,33.544,104
0.0015,-1,e2122,age_lt30,219,1.0,0.0,27.6186,60
0.0015,-1,e2324,age_30_240,666,1.0,0.0,28.159750000000003,143
0.0015,-1,e2324,age_ge240,1792,1.0,0.0,27.7773,197
0.0015,-1,e2324,age_lt30,416,1.0,0.0,32.68635,142
0.0015,-1,e2526,age_30_240,8793,1.0,0.0,29.459,325
0.0015,-1,e2526,age_ge240,17083,1.0,0.0,30.1322,509
0.0015,-1,e2526,age_lt30,2448,2.0,1.0,36.0818,247
0.0015,1,e2122,age_30_240,788,1.0,0.0,34.0184,66
0.0015,1,e2122,age_censored,11,1.0,0.0,18.4729,4
0.0015,1,e2122,age_ge240,537,1.0,0.0,35.884,29
0.0015,1,e2122,age_lt30,198,2.0,8.0,20.0299,64
0.0015,1,e2324,age_30_240,759,1.0,0.0,17.950799999999997,140
0.0015,1,e2324,age_ge240,1088,1.0,0.0,18.47255,185
0.0015,1,e2324,age_lt30,277,1.0,0.0,18.9549,89
0.0015,1,e2526,age_30_240,3588,1.0,0.0,22.4058,201
0.0015,1,e2526,age_ge240,2461,1.0,0.0,23.137600000000003,233
0.0015,1,e2526,age_lt30,828,1.0,0.0,24.861099999999997,183
0.003,-1,e2122,age_30_240,1408,1.0,0.0,57.9754,88
0.003,-1,e2122,age_censored,4,1.0,0.0,37.5,4
0.003,-1,e2122,age_ge240,594,1.0,0.0,58.4798,71
0.003,-1,e2122,age_lt30,127,1.0,0.0,49.8899,44
0.003,-1,e2324,age_30_240,354,1.0,0.0,50.6265,111
0.003,-1,e2324,age_ge240,947,1.0,0.0,53.6558,165
0.003,-1,e2324,age_lt30,263,1.0,0.0,55.930099999999996,109
0.003,-1,e2526,age_30_240,5166,1.0,0.0,54.7552,277
0.003,-1,e2526,age_ge240,10151,1.0,0.0,55.6672,458
0.003,-1,e2526,age_lt30,1706,2.0,1.0,62.0968,208
0.003,1,e2122,age_30_240,468,1.0,0.0,60.419599999999996,28
0.003,1,e2122,age_censored,1,1.0,0.0,30.8436,1
0.003,1,e2122,age_ge240,322,1.0,0.0,57.5132,16
0.003,1,e2122,age_lt30,20,1.0,0.0,32.8853,15
0.003,1,e2324,age_30_240,90,1.0,0.0,36.78335,24
0.003,1,e2324,age_ge240,158,1.0,0.0,51.395599999999995,22
0.003,1,e2324,age_lt30,52,1.0,0.0,43.4419,29
0.003,1,e2526,age_30_240,1216,1.0,0.0,44.9532,120
0.003,1,e2526,age_ge240,861,1.0,0.0,47.8584,128
0.003,1,e2526,age_lt30,374,1.0,0.0,44.50135,97
0.005,-1,e2122,age_30_240,877,1.0,0.0,90.30959999999999,62
0.005,-1,e2122,age_ge240,373,1.0,0.0,85.3272,50
0.005,-1,e2122,age_lt30,74,2.0,7.0,76.68535,26
0.005,-1,e2324,age_30_240,192,1.0,0.0,92.1422,82
0.005,-1,e2324,age_ge240,584,1.0,0.0,88.88904999999998,138
0.005,-1,e2324,age_lt30,169,1.0,0.0,83.3595,78
0.005,-1,e2526,age_30_240,3400,1.0,0.0,92.4728,244
0.005,-1,e2526,age_ge240,6521,1.0,0.0,89.7184,415
0.005,-1,e2526,age_lt30,1220,2.0,1.0,97.51320000000001,182
0.005,1,e2122,age_30_240,299,1.0,0.0,90.80319999999999,16
0.005,1,e2122,age_ge240,202,1.0,0.0,83.0504,11
0.005,1,e2122,age_lt30,3,1.0,0.0,66.9483,3
0.005,1,e2324,age_30_240,24,1.0,0.0,68.66884999999999,10
0.005,1,e2324,age_ge240,85,1.0,0.0,72.9912,10
0.005,1,e2324,age_lt30,21,1.0,0.0,57.2588,13
0.005,1,e2526,age_30_240,562,1.0,0.0,74.3548,71
0.005,1,e2526,age_ge240,427,1.0,0.0,77.9176,76
0.005,1,e2526,age_lt30,161,1.0,0.0,66.7582,54
