symbol,sign,threshold,persistence,entry,era,age_cell,week_block,hold_h,n_alt_settlements_hold,gross_alt,alt_funding,gross_btc,btc_funding,net_unhedged,net_hedged,capped
0GUSDT,-1,0.0015,1,2025-09-22,e2526,age_lt30,105645,11.0,11,-0.0364347177720008,0.04371529,0.0006815912671118696,0.000035550000000000004,0.0027805722279991953,-0.0010022865048889343,false
0GUSDT,-1,0.0015,2,2025-09-22,e2526,age_lt30,105645,9.0,9,-0.01980279207068314,0.02779673,0.0024239352979377182,0.000035550000000000004,0.0034939379293168595,0.0014534232272545786,false
0GUSDT,-1,0.0015,1,2025-09-23,e2526,age_lt30,105645,9.0,9,0.1892471361770769,0.02417236,-0.004779318166038049,-0.00001646,0.2089194961770769,0.19962371801103884,false
0GUSDT,-1,0.0015,2,2025-09-23,e2526,age_lt30,105645,8.0,8,0.008851550320457369,0.01417236,-0.007072475250351706,-0.00001646,0.01852391032045737,0.0069349750701056655,false
0GUSDT,-1,0.0015,1,2025-09-23,e2526,age_lt30,105645,3.0,3,-0.018113668061366717,0.00247448,0.0001523401933657409,0.0,-0.020139188061366716,-0.024486847868000976,false
0GUSDT,-1,0.0015,2,2025-09-23,e2526,age_lt30,105645,2.0,2,0.02974732146122072,0.00009321,0.00032676584172308676,0.0,0.02534053146122072,0.02116729730294381,false
0GUSDT,-1,0.0015,1,2025-09-23,e2526,age_lt30,105645,1.0,1,0.0015296659591961248,-0.0000125,0.0006904822473379202,0.0,-0.0029828340408038748,-0.006792351793465955,false
0GUSDT,-1,0.0015,1,2025-09-23,e2526,age_lt30,105645,1.0,1,-0.012553689604954954,0.00017866,-0.002978761537772101,0.0,-0.016875029604954954,-0.024353791142727052,false
0GUSDT,-1,0.0015,1,2025-09-23,e2526,age_lt30,105645,9.0,9,0.0045987541223890815,0.02072961,-0.0038812693740104542,-0.00001513,0.02082836412238908,0.012431964748378628,false
0GUSDT,-1,0.0015,2,2025-09-24,e2526,age_lt30,105645,8.0,8,-0.0569630050049017,0.0139542,-0.005361027359017445,0.00001004,-0.0475088050049017,-0.057359792363919145,false
0GUSDT,-1,0.0015,1,2025-09-24,e2526,age_lt30,105645,7.0,7,-0.04359463154449006,0.00772486,-0.008764207671610125,0.0000694,-0.040369771544490056,-0.05356457921610019,false
0GUSDT,-1,0.0015,2,2025-09-24,e2526,age_lt30,105645,6.0,6,-0.014601726019244143,0.00673398,-0.00692791548669458,0.0000694,-0.012367746019244143,-0.02372626150593872,false
0GUSDT,-1,0.0015,1,2025-09-24,e2526,age_lt30,105645,3.0,3,-0.003938965921976623,0.0006721100000000001,0.002331342619423138,0.0,-0.007766855921976622,-0.009935513302553484,false
0GUSDT,-1,0.0015,2,2025-09-24,e2526,age_lt30,105645,2.0,2,-0.01642274825655632,-0.000025,0.0013494777705888028,0.0,-0.02094774825655632,-0.024098270485967514,false
0GUSDT,-1,0.0015,1,2025-09-25,e2526,age_lt30,105645,2.0,2,-0.08480544163248971,-0.000025,0.005705683167704811,0.0,-0.08933044163248971,-0.08812475846478489,false
0GUSDT,-1,0.0015,2,2025-09-25,e2526,age_lt30,105645,1.0,1,-0.015262081584328957,-0.0000125,0.0035457039200070817,0.0,-0.019774581584328956,-0.020728877664321875,false
