cell,era,n,mean_long_gross_bp,mean_long_funding_bp,mean_long_net45_bp,median_long_net45_bp,n_blocks,se_long_net45_bp_blk,events_per_active_day
D9_btc_up,pooled,2962,-39.29669007445467,6.945283051991898,-77.3514070224628,-115.61673252930433,38,25.823091872092252,4.44
D9_btc_up,e2324,1561,-6.223195698994297,-1.9469065983344012,-53.17010229732871,-93.71984435797648,22,20.10662632301201,3.83
D9_btc_up,e2526,1401,-76.14731442855435,16.85299757316203,-104.29431685539232,-143.03683289929543,17,51.695336860039326,5.41
D9_btc_down,pooled,2504,-11.25806611446275,21.488346405750796,-34.76971970871195,-105.11683615491178,34,24.1232934491131,4.59
D9_btc_down,e2324,829,53.54919800477835,4.268258262967431,12.817456267745769,-15.326159139957165,17,26.094100349518875,3.44
D9_btc_down,e2526,1675,-43.33282549049312,30.011004955223882,-58.32182053526923,-179.65591658398256,18,33.645011342859036,5.49
D7_8_btc_up,pooled,7817,-7.671495914203634,0.07242316745554546,-52.59907274674809,-89.84100418409996,39,16.537579524891598,11.04
D7_8_btc_up,e2324,3946,14.545576464018206,-4.480501216421693,-34.93492475240348,-78.48007014758585,22,18.677924155402753,9.33
D7_8_btc_up,e2526,3871,-30.319020482651947,4.713559726168949,-70.605460756483,-100.1132986176385,18,27.404861159953,13.58
D7_8_btc_down,pooled,6846,7.762537930732773,5.3000550686532275,-31.937407000614005,-72.33650812254439,34,16.268447989952804,11.82
D7_8_btc_down,e2324,2118,27.660250047549003,-0.5094195939565628,-17.849169546407563,-22.14634993275317,17,25.93630210758026,8.24
D7_8_btc_down,e2526,4728,-1.1510310759120634,7.902522779187816,-38.24850829672425,-99.33125078599285,18,19.377002545758717,14.68
