cell,era,n,mean_long_gross_bp,mean_long_funding_bp,mean_long_net45_bp,median_long_net45_bp,n_blocks,se_long_net45_bp_blk,events_per_active_day
D9_btc_up,pooled,3036,-95.65376590998194,14.572400592885376,-126.08136531709658,-157.44330358801088,40,26.68900354740208,4.43
D9_btc_up,e2324,1556,-26.820631572507487,1.6627217223650383,-70.15790985014246,-124.07554672765416,22,29.819780097519967,3.8
D9_btc_up,e2526,1480,-168.0215747134348,28.145008918918922,-184.8765657945159,-201.8425485556654,19,42.51077526673077,5.36
D9_btc_down,pooled,2561,-37.21520819444158,32.33513256540414,-49.88007562903744,-138.76828536330376,35,34.40422678475128,4.49
D9_btc_down,e2324,789,3.368481600897747,8.4313,-33.200218399102255,-56.33840745817326,17,39.0827545386876,3.19
D9_btc_down,e2526,1772,-55.285485422727554,42.97854334085778,-57.30694208186977,-190.3523188150233,19,45.82064888094366,5.47
D7_8_btc_up,pooled,7607,-17.916378768907094,0.219809083738662,-62.696569685168434,-104.69737774627869,40,17.898461840887094,10.77
D7_8_btc_up,e2324,3995,8.844527596601424,-4.760911989987485,-40.91638439338606,-88.69175991861627,22,20.3723910289079,9.6
D7_8_btc_up,e2526,3612,-47.51488954692662,5.728663095238095,-86.78622645168853,-125.49047678377933,19,28.389655144148012,12.46
D7_8_btc_down,pooled,6456,15.862293651020309,9.063732651796778,-20.073973697182918,-73.16387546477871,35,14.425085125250416,10.85
D7_8_btc_down,e2324,2122,39.83657858689327,-0.0478863336475025,-5.211307746754241,-25.7952323890901,17,20.825972159657578,8.19
D7_8_btc_down,e2526,4334,4.124076615043749,13.524936040609136,-27.350987344347118,-104.58393909469427,19,19.342570195412023,12.9
