surface,member,era,trades_kept,trades_removed,trades_downweighted,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,tp_rate,mean_mae,share_mae_below_10pct,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta,es95_daily,es99_daily,registered_tail_days_in_window,registered_tail_negative_days,registered_tail_sum_return,native_tail_days,native_tail_sum_return,native_tail_worst
barebones,baseline_ungated,full,16745,0,0,-0.20225703905408046,0.3659675652296243,-0.40887298408370476,-0.15935162020000002,-0.38737879112830864,-0.05212901624573644,2022-11-10,-0.12078652675669183,0.15819647656016722,-0.08363386066898901,0.2566736339205733,0.0,-0.0,-0.0,-0.0,-0.019337391927669586,-0.032011302043493436,156,156,-0.5181781620471608,95,-1.569550936706469,-0.05212901624573644
barebones,baseline_ungated,early,3984,0,0,0.07393094702302853,0.24011379490335022,-0.09772244128032173,-0.06846040660000001,-0.10236025571516394,-0.05212901624573644,2022-11-10,0.1855696461421399,0.16390562248995985,-0.08503898484610539,0.24673694779116465,0.0,-0.0,-0.0,-0.0,-0.011343766287788978,-0.02196524331509435,58,58,-0.12666664788502088,15,-0.22579677067100426,-0.05212901624573644
barebones,baseline_ungated,late,12761,0,0,-0.276187986077109,0.12585377032627412,-0.31115054280338306,-0.09089121359999999,-0.3461811598708002,-0.03945902091344896,2024-03-01,-0.2164313032498307,0.1564140741321213,-0.08319517916114233,0.2597758796332576,0.0,-0.0,-0.0,-0.0,-0.02294827767513831,-0.03498492340826429,98,98,-0.3915115141621399,80,-1.3437541660354646,-0.03945902091344896
barebones,binary,full,10476,6269,0,-0.13481102788755234,0.14888962535590464,-0.25474399574345696,-0.028956657499999996,-0.35845987112361655,-0.03945902091344896,2024-03-01,-0.1286855936307296,0.16227567773959525,-0.08545347576339866,0.26699121802214587,0.21707793987371965,0.1303949627,0.1541289883402478,0.06744601116652818,-0.01635259671820935,-0.02716562324899704,156,82,-0.2760313967258699,95,-1.128505045847785,-0.03945902091344896
barebones,binary,early,1943,2041,0,0.015667810036046646,0.07615124104726093,-0.047532887711214264,-0.0129505433,-0.07670244035775342,-0.017035452082099094,2023-01-20,0.08063721068474856,0.14565105506948017,-0.077996280152707,0.2465259907359753,0.16396255385608927,0.0555098633,0.05018955356910747,-0.05826313698698181,-0.00857332082909128,-0.01356944917163029,58,29,-0.05371252182505003,15,-0.13902296006460035,-0.017035452082099094
barebones,binary,late,8533,4228,0,-0.150478837923599,0.0727383843086437,-0.20721110803224269,-0.016006114199999998,-0.3267616906642443,-0.03945902091344896,2024-03-01,-0.17634927683534396,0.16606117426461972,-0.08715151057783367,0.27165123637642097,0.05311538601763038,0.0748850994,0.10393943477114038,0.12570914815351,-0.02057989342509593,-0.03263193352004681,98,53,-0.22231887490081984,80,-0.9894820857831849,-0.03945902091344896
barebones,binary_discrete35,full,10476,6269,45,-0.12541949677387434,0.15770342375672222,-0.2540431974905965,-0.029079723039999998,-0.3493073767958301,-0.03945902091344896,2024-03-01,-0.11972078729846729,0.16227567773959525,-0.08545347576339866,0.26699121802214587,0.20826414147290204,0.13027189716,0.15482978659310825,0.0768375422802062,-0.01615316308066331,-0.02690201824279662,156,82,-0.2760313967258699,95,-1.113062055685158,-0.03945902091344896
barebones,binary_discrete35,early,1943,2041,1,0.01590684682193826,0.07638228134142364,-0.047520759819485364,-0.0129546747,-0.07670244035775342,-0.017035452082099094,2023-01-20,0.0818674566234599,0.14565105506948017,-0.077996280152707,0.2465259907359753,0.16373151356192656,0.0555057319,0.05020168146083637,-0.058024100201090195,-0.00857332082909128,-0.01356944917163029,58,29,-0.05371252182505003,15,-0.13902296006460035,-0.017035452082099094
barebones,binary_discrete35,late,8533,4228,44,-0.14132634359581261,0.08132114241529859,-0.20652243767111117,-0.016125048339999996,-0.3176091963364579,-0.03945902091344896,2024-03-01,-0.1656232785606617,0.16606117426461972,-0.08715151057783367,0.27165123637642097,0.0445326279109755,0.07476616526,0.1046281051322719,0.1348616424812964,-0.020270423298317238,-0.03263193352004681,98,53,-0.22231887490081984,80,-0.9740390956205579,-0.03945902091344896
barebones,binary_ramp,full,10476,6269,45,-0.1348912754760873,0.14867624295253845,-0.2545827265689664,-0.02898479185965935,-0.3585447854709398,-0.03945902091344896,2024-03-01,-0.12876219499435598,0.16227567773959525,-0.08545347576339866,0.26699121802214587,0.21729132227708578,0.13036682834034066,0.15429025751473835,0.06736576357799323,-0.01632492125945604,-0.027018020802312706,156,82,-0.2760313967258699,95,-1.1267338164875729,-0.03945902091344896
