rho_min,cap_k,registered,era,entries,vetoed,veto_rate,forgone_upside,avoided_loss,vetoed_net_sum,vetoed_on_native_tail_days,vetoed_net_on_native_tail_days,vetoed_on_registered_tail_days,vetoed_net_on_registered_tail_days
0.6,2,false,full,2300,21,0.009130434782608696,0.016161918061442456,-0.0031188383419124355,0.013043079719530021,0,0,6,0.007747596204977094
0.6,2,false,early,1033,14,0.013552758954501452,0.011240947514920416,-0.00044810541637191337,0.010792842098548503,0,0,6,0.007747596204977094
0.6,2,false,late,1267,7,0.0055248618784530384,0.00492097054652204,-0.002670732925540522,0.0022502376209815175,0,0,0,0.0
0.6,3,false,full,2300,0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.6,3,false,early,1033,0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.6,3,false,late,1267,0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.7,2,false,full,2300,2,0.0008695652173913044,0.0,-0.00044810541637191337,-0.00044810541637191337,0,0,0,0.0
0.7,2,false,early,1033,2,0.001936108422071636,0.0,-0.00044810541637191337,-0.00044810541637191337,0,0,0,0.0
0.7,2,false,late,1267,0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.7,3,true,full,2300,0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.7,3,true,early,1033,0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.7,3,true,late,1267,0,0.0,0.0,0.0,0.0,0,0,0,0.0
